Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock
2020-01-03,298.9,298.9,0.0,0.0,0.0,0.0,,,,,,,AIRTEL
2020-01-06,298.9,298.9,0.0,0.0,50110.0,0.0,0.0,0.0,0.0,0.0,,,AIRTEL
2020-01-07,298.9,298.9,0.0,0.0,4740.0,0.0,0.0,0.0,0.0,0.0,,,AIRTEL
2020-01-08,298.9,298.9,0.0,0.0,1820.0,0.0,0.0,0.0,0.0,0.0,,,AIRTEL
2020-01-13,298.9,298.9,0.0,0.0,1670.0,0.0,0.0,0.0,0.0,0.0,,,AIRTEL
2020-01-15,298.9,298.9,0.0,0.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-16,298.9,298.9,0.0,0.0,2470.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-17,298.9,298.9,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-20,298.9,298.9,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-21,298.9,298.9,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-22,298.9,298.9,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-23,298.9,298.9,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-24,298.9,298.9,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-27,298.9,298.9,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-28,298.9,298.9,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-29,298.9,298.9,298.9,298.9,400030.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-30,298.9,298.9,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-01-31,298.9,298.9,0.0,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-02-03,298.9,298.9,0.0,0.0,207510.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-02-04,298.9,298.9,0.0,0.0,50420.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-02-05,298.9,298.9,0.0,0.0,7410.0,0.0,0.0,0.0,0.0,0.0,0.0,,AIRTEL
2020-02-06,298.9,298.9,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-07,298.9,298.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-12,298.9,298.9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-13,298.9,298.9,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-14,298.9,298.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-17,298.9,298.9,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-19,298.9,298.9,0.0,0.0,44210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-20,298.9,298.9,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-21,298.9,298.9,0.0,0.0,50010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-24,298.9,298.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-25,298.9,298.9,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-26,298.9,298.9,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-02-27,298.9,298.9,0.0,0.0,10100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-02,298.9,298.9,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-03,298.9,298.9,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-04,298.9,298.9,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-05,298.9,298.9,0.0,0.0,3370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-06,298.9,298.9,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-09,298.9,298.9,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-10,298.9,298.9,0.0,0.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
2020-03-11,298.9,298.9,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AIRTEL
