Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock
2020-01-02,14.0,13.6,14.0,14.0,1360000.0,2.94,,,,,,,DANGSUG
2020-01-03,14.2,14.0,14.5,14.2,1440000.0,1.43,0.014285714285714235,0.014184634991956381,0.0002012038698550334,0.014184634991956381,,,DANGSUG
2020-01-06,15.05,14.2,15.05,14.95,4400000.0,5.99,0.059859154929577496,0.05813602658766972,0.0033797975874022405,0.05813602658766972,,,DANGSUG
2020-01-07,15.05,15.05,15.05,15.0,2260000.0,0.0,0.0,0.0,0.0,0.0,,,DANGSUG
2020-01-08,15.0,15.05,15.15,15.0,3620000.0,-0.33,-0.0033222591362126463,-0.003327790092674691,1.107418690090383e-05,0.003327790092674691,,,DANGSUG
2020-01-09,15.0,15.0,15.1,15.0,4250000.0,0.0,0.0,0.0,0.0,0.0,0.4078290818470114,,DANGSUG
2020-01-10,15.0,15.0,15.0,15.0,1680000.0,0.0,0.0,0.0,0.0,0.0,0.4192555815444652,,DANGSUG
2020-01-13,14.8,15.0,14.9,14.75,630280.0,-1.33,-0.013333333333333308,-0.013423020332140661,0.00018017747483706158,0.013423020332140661,0.09226822367912883,,DANGSUG
2020-01-14,14.8,14.8,0.0,0.0,398330.0,0.0,0.0,0.0,0.0,0.0,0.09226822367912883,,DANGSUG
2020-01-15,14.5,14.8,14.65,14.5,1230000.0,-2.03,-0.020270270270270285,-0.020478531343540676,0.0004193702459883779,0.020478531343540676,0.15261105731946384,,DANGSUG
2020-01-16,14.65,14.5,14.65,14.6,1020000.0,1.03,0.010344827586207028,0.010291686036547724,0.00010591880147487141,0.010291686036547724,0.19344463390243097,,DANGSUG
2020-01-17,14.65,14.65,0.0,0.0,852580.0,0.0,0.0,0.0,0.0,0.0,0.19344463390243097,,DANGSUG
2020-01-20,14.65,14.65,0.0,0.0,719040.0,0.0,0.0,0.0,0.0,0.0,0.1782854034745871,,DANGSUG
2020-01-21,14.65,14.65,0.0,0.0,1410000.0,0.0,0.0,0.0,0.0,0.0,0.1782854034745871,,DANGSUG
2020-01-22,14.65,14.65,0.0,0.0,311090.0,0.0,0.0,0.0,0.0,0.0,0.07306372283379448,,DANGSUG
2020-01-23,14.65,14.65,0.0,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,,DANGSUG
2020-01-24,13.9,14.65,13.9,13.9,967670.0,-5.12,-0.05119453924914674,-0.05255149532643022,0.0027616596610438174,0.05255149532643022,0.3730786068868174,,DANGSUG
2020-01-27,13.8,13.9,13.9,13.8,2080000.0,-0.72,-0.007194244604316502,-0.00722024797348702,5.213198079864342e-05,0.00722024797348702,0.36366652456952087,,DANGSUG
2020-01-28,13.8,13.8,0.0,0.0,324390.0,0.0,0.0,0.0,0.0,0.0,0.36366652456952087,,DANGSUG
2020-01-29,13.8,13.8,0.0,0.0,459210.0,0.0,0.0,0.0,0.0,0.0,0.36366652456952087,,DANGSUG
2020-01-30,13.8,13.8,0.0,0.0,325040.0,0.0,0.0,0.0,0.0,0.0,0.36366652456952087,,DANGSUG
2020-01-31,13.8,13.8,0.0,0.0,392690.0,0.0,0.0,0.0,0.0,0.0,0.05125867567789508,0.2991297118731483,DANGSUG
2020-02-03,13.8,13.8,0.0,0.0,603480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29424101457261614,DANGSUG
2020-02-04,12.45,13.8,12.45,12.45,754530.0,-9.78,-0.09782608695652184,-0.1029479692524425,0.010598284373201846,0.1029479692524425,0.7308580795266432,0.3955232234885932,DANGSUG
2020-02-05,12.95,12.45,12.95,12.95,514679.99999999994,4.02,0.04016064257028118,0.03937516523483019,0.0015504036372701797,0.03937516523483019,0.8452481451534807,0.42895782103032043,DANGSUG
2020-02-06,12.95,12.95,0.0,0.0,165210.0,0.0,0.0,0.0,0.0,0.0,0.8452481451534807,0.42948662622680583,DANGSUG
2020-02-07,13.4,12.95,13.4,13.4,826700.0,3.47,0.0347490347490349,0.03415891881131908,0.0011668317343582883,0.03415891881131908,0.909932150340565,0.4521996324117982,DANGSUG
2020-02-10,13.4,13.4,0.0,0.0,394960.0,0.0,0.0,0.0,0.0,0.0,0.909932150340565,0.4521996324117982,DANGSUG
2020-02-11,12.8,13.4,12.8,12.8,393260.0,-4.48,-0.04477611940298509,-0.04580953603129422,0.0020985135914024437,0.04580953603129422,0.5419475874859435,0.47290860336040835,DANGSUG
2020-02-12,12.85,12.8,12.85,12.85,1370000.0,0.39,0.00390625,0.003898640415657323,1.5199397090596703e-05,0.003898640415657323,0.4537809426590242,0.47381869405799787,DANGSUG
2020-02-13,12.85,12.85,0.0,0.0,159820.0,0.0,0.0,0.0,0.0,0.0,0.4537809426590242,0.47163587510152727,DANGSUG
2020-02-14,12.85,12.85,0.0,0.0,240480.0,0.0,0.0,0.0,0.0,0.0,0.33321423486493007,0.4685619787658739,DANGSUG
2020-02-17,12.35,12.85,12.35,12.35,248650.0,-3.89,-0.03891050583657585,-0.03968774826724258,0.0015751173625240162,0.03968774826724258,0.3853585923547828,0.4818798867742971,DANGSUG
2020-02-18,12.35,12.35,0.0,0.0,312790.0,0.0,0.0,0.0,0.0,0.0,0.2899157064070249,0.4818798867742971,DANGSUG
2020-02-19,12.1,12.35,12.1,12.1,715510.0,-2.02,-0.020242914979757054,-0.020450610471290768,0.0004182274686484676,0.020450610471290768,0.282862660575116,0.48273780020450907,DANGSUG
2020-02-20,12.1,12.1,0.0,0.0,454030.0,0.0,0.0,0.0,0.0,0.0,0.282862660575116,0.48273780020450907,DANGSUG
2020-02-21,12.1,12.1,0.0,0.0,427420.0,0.0,0.0,0.0,0.0,0.0,0.28286266057511605,0.48273780020450907,DANGSUG
2020-02-24,12.1,12.1,0.0,0.0,636610.0,0.0,0.0,0.0,0.0,0.0,0.145184931793498,0.4567729097527297,DANGSUG
2020-02-25,12.1,12.1,0.0,0.0,225040.0,0.0,0.0,0.0,0.0,0.0,0.145184931793498,0.4573346073443286,DANGSUG
2020-02-26,12.1,12.1,0.0,0.0,185740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573346073443286,DANGSUG
2020-02-27,12.1,12.1,0.0,0.0,124900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573346073443286,DANGSUG
2020-02-28,12.1,12.1,0.0,0.0,311570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573346073443286,DANGSUG
2020-03-02,12.1,12.1,0.0,0.0,210160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573346073443286,DANGSUG
2020-03-03,10.9,12.1,11.0,10.9,2590000.0,-9.92,-0.09917355371900816,-0.10444266336759726,0.010908269931317244,0.10444266336759726,0.7414693550905452,0.5688389488547397,DANGSUG
2020-03-04,10.9,10.9,0.0,0.0,290510.0,0.0,0.0,0.0,0.0,0.0,0.7414693550905452,0.4613281088590567,DANGSUG
2020-03-05,10.9,10.9,0.0,0.0,1070000.0,0.0,0.0,0.0,0.0,0.0,0.7414693550905452,0.4313652883661552,DANGSUG
2020-03-06,11.0,10.9,11.0,11.0,1870000.0,0.92,0.00917431192660545,0.009132483563272474,8.340225603344191e-05,0.009132483563272474,0.7602740065834823,0.4347015447586636,DANGSUG
2020-03-09,11.0,11.0,0.0,0.0,196650.0,0.0,0.0,0.0,0.0,0.0,0.7602740065834823,0.4085015915973737,DANGSUG
2020-03-10,9.9,11.0,9.9,9.9,618810.0,-10.0,-0.09999999999999998,-0.10536051565782628,0.011100838259683056,0.10536051565782628,0.7667680497152835,0.5245292549995025,DANGSUG
2020-03-11,9.75,9.9,10.0,9.75,2000000.0,-1.52,-0.015151515151515138,-0.01526747213078842,0.0002330957052644011,0.01526747213078842,0.750105635157315,0.5120173960385622,DANGSUG
2020-03-12,9.75,9.75,0.0,0.0,431280.0,0.0,0.0,0.0,0.0,0.0,0.750105635157315,0.5105759819625073,DANGSUG
2020-03-13,10.15,9.75,10.15,9.85,992460.0,4.1,0.0410256410256411,0.04020642047804061,0.001616556247657003,0.04020642047804061,0.8569648560102084,0.5416701644091381,DANGSUG
2020-03-16,9.85,10.15,9.85,9.85,719740.0,-2.96,-0.029556650246305494,-0.030002250303798904,0.0009001350232918015,0.030002250303798904,0.8479105520072016,0.5437979648219791,DANGSUG
2020-03-17,9.85,9.85,0.0,0.0,583990.0,0.0,0.0,0.0,0.0,0.0,0.4158287543748892,0.536271318951586,DANGSUG
2020-03-18,9.85,9.85,0.0,0.0,279910.0,0.0,0.0,0.0,0.0,0.0,0.39653445493307277,0.536271318951586,DANGSUG
2020-03-19,10.0,9.85,10.0,9.8,836520.0,1.52,0.015228426395939021,0.015113637810048106,0.0002284220478533157,0.015113637810048106,0.40603650997207563,0.542300094447221,DANGSUG
2020-03-20,10.0,10.0,10.0,10.0,819770.0,0.0,0.0,0.0,0.0,0.0,0.26135424930366064,0.542300094447221,DANGSUG
2020-03-23,9.0,10.0,9.3,9.0,1840000.0,-10.0,-0.09999999999999998,-0.10536051565782628,0.011100838259683056,0.10536051565782628,0.7817433801848064,0.6349793857234772,DANGSUG
2020-03-24,9.0,9.0,9.7,8.55,254130.0,0.0,0.0,0.0,0.0,0.0,0.7817433801848064,0.6349793857234772,DANGSUG
2020-03-25,9.0,9.0,9.8,9.05,26350.0,0.0,0.0,0.0,0.0,0.0,0.7817433801848064,0.6349793857234772,DANGSUG
2020-03-26,9.0,9.0,9.9,9.1,64860.0,0.0,0.0,0.0,0.0,0.0,0.7479854599442598,0.6349793857234772,DANGSUG
2020-03-27,9.0,9.0,9.9,9.1,124500.0,0.0,0.0,0.0,0.0,0.0,0.7479854599442598,0.6349793857234772,DANGSUG
2020-03-30,9.0,9.0,9.9,9.0,86800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349793857234772,DANGSUG
2020-03-31,9.0,9.0,9.85,9.0,316980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349793857234772,DANGSUG
2020-04-01,8.9,9.0,8.9,8.9,2970000.0,-1.11,-0.011111111111111072,-0.011173300598125189,0.0001248426462560647,0.011173300598125189,0.07932256533487593,0.5433555642825473,DANGSUG
2020-04-02,8.9,8.9,9.7,8.95,186560.0,0.0,0.0,0.0,0.0,0.0,0.07932256533487593,0.5433555642825473,DANGSUG
2020-04-03,8.9,8.9,9.7,9.1,150580.0,0.0,0.0,0.0,0.0,0.0,0.07932256533487593,0.5433555642825473,DANGSUG
2020-04-06,8.9,8.9,9.7,9.0,285760.0,0.0,0.0,0.0,0.0,0.0,0.07932256533487593,0.5402895964110412,DANGSUG
2020-04-07,8.9,8.9,9.7,9.15,158780.0,0.0,0.0,0.0,0.0,0.0,0.07932256533487593,0.5402895964110412,DANGSUG
2020-04-08,9.75,8.9,9.75,9.75,106620.0,9.55,0.09550561797752799,0.09121600827166157,0.008320360165015831,0.09121600827166157,0.6475694189172293,0.5326027541931341,DANGSUG
2020-04-09,10.7,9.75,10.7,10.0,1020000.0,9.74,0.09743589743589731,0.09297645645810457,0.008644621455505815,0.09297645645810457,0.8008216748416681,0.6201644965466897,DANGSUG
2020-04-14,11.7,10.7,11.7,11.7,2630000.0,9.35,0.09345794392523366,0.08934510033584996,0.007982546954023097,0.08934510033584996,0.7930491954921771,0.6858762113005094,DANGSUG
2020-04-15,12.7,11.7,12.7,12.2,1780000.0,8.55,0.08547008547008539,0.08201315166083507,0.006726157045343135,0.08201315166083507,0.6345050518142491,0.7243008654136869,DANGSUG
2020-04-16,12.35,12.7,12.7,12.3,2280000.0,-2.76,-0.027559055118110187,-0.027945930390559336,0.0007809750253939879,0.027945930390559336,0.8320756760490133,0.722879474906106,DANGSUG
2020-04-17,12.35,12.35,13.0,12.35,483850.0,0.0,0.0,0.0,0.0,0.0,0.9035359898108885,0.722879474906106,DANGSUG
2020-04-20,12.35,12.35,13.05,12.35,253120.0,0.0,0.0,0.0,0.0,0.0,0.846583955851582,0.722879474906106,DANGSUG
2020-04-21,12.35,12.35,12.35,11.4,603650.0,0.0,0.0,0.0,0.0,0.0,0.6603909363522782,0.7236309355597592,DANGSUG
2020-04-22,12.35,12.35,12.3,11.6,203680.0,0.0,0.0,0.0,0.0,0.0,0.19839642456419912,0.7236309355597592,DANGSUG
2020-04-23,12.0,12.35,12.0,12.0,1810000.0,-2.83,-0.028340080971659853,-0.028749413285985823,0.0008265287642884181,0.028749413285985823,0.20410058726063549,0.6093106096379097,DANGSUG
2020-04-24,12.0,12.0,12.0,12.0,1340000.0,0.0,0.0,0.0,0.0,0.0,0.20410058726063549,0.6093106096379097,DANGSUG
2020-04-27,12.0,12.0,12.5,11.85,128750.0,0.0,0.0,0.0,0.0,0.0,0.20410058726063549,0.6093106096379097,DANGSUG
2020-04-28,12.45,12.0,12.45,12.45,520539.99999999994,3.75,0.03749999999999987,0.036813973122716184,0.0013552686170800695,0.036813973122716184,0.3696400509234303,0.6122203674515652,DANGSUG
2020-04-29,12.45,12.45,12.45,12.45,1010000.0,0.0,0.0,0.0,0.0,0.0,0.3696400509234303,0.6122203674515652,DANGSUG
2020-04-30,12.45,12.45,12.8,12.5,217290.0,0.0,0.0,0.0,0.0,0.0,0.2613532825522486,0.6122203674515652,DANGSUG
2020-05-04,12.8,12.45,12.8,12.8,384950.0,2.81,0.028112449799196915,0.027724548014854983,0.0007686505626279994,0.027724548014854983,0.28517560794664193,0.6109351664773215,DANGSUG
2020-05-05,12.8,12.8,12.8,12.65,237770.0,0.0,0.0,0.0,0.0,0.0,0.28517560794664193,0.6056990133930085,DANGSUG
2020-05-06,12.8,12.8,12.8,12.8,856070.0,0.0,0.0,0.0,0.0,0.0,0.1968247656075097,0.6056990133930085,DANGSUG
2020-05-07,12.8,12.8,13.0,12.55,220130.0,0.0,0.0,0.0,0.0,0.0,0.1968247656075097,0.6056990133930085,DANGSUG
2020-05-08,12.8,12.8,13.0,12.55,333270.0,0.0,0.0,0.0,0.0,0.0,0.1968247656075097,0.6056990133930085,DANGSUG
2020-05-11,12.8,12.8,13.8,12.2,278650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6056990133930085,DANGSUG
2020-05-12,12.8,12.8,13.1,11.9,339330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5448112968696099,DANGSUG
2020-05-13,12.8,12.8,12.8,12.5,97370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4616034103150913,DANGSUG
2020-05-14,12.8,12.8,12.8,12.5,105070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35625975390954545,DANGSUG
2020-05-15,12.8,12.8,12.8,12.1,57140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2167464420808541,DANGSUG
2020-05-18,12.8,12.8,13.0,12.5,137390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19080651967338128,DANGSUG
2020-05-19,12.8,12.8,13.0,12.65,267400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19080651967338128,DANGSUG
2020-05-20,12.85,12.8,12.85,12.8,1910000.0,0.39,0.00390625,0.003898640415657323,1.5199397090596703e-05,0.003898640415657323,0.02767760129357445,0.19084571276343357,DANGSUG
2020-05-21,12.8,12.85,12.8,12.8,1330000.0,-0.39,-0.0038910505836574627,-0.0038986404156571976,1.5199397090595726e-05,0.0038986404156571976,0.043762130128858254,0.19180759306281767,DANGSUG
2020-05-22,12.8,12.8,13.3,12.8,217000.0,0.0,0.0,0.0,0.0,0.0,0.043762130128858254,0.19180759306281767,DANGSUG
2020-05-27,14.0,12.8,14.05,13.9,2069999.9999999998,9.37,0.09375,0.08961215868968714,0.00803033898502567,0.08961215868968714,0.6376866071031355,0.33774134841266434,DANGSUG
2020-05-28,14.0,14.0,14.05,14.0,1860000.0,0.0,0.0,0.0,0.0,0.0,0.6376866071031355,0.33774134841266434,DANGSUG
2020-05-29,12.9,14.0,13.0,12.8,1040000.0,-7.86,-0.07857142857142851,-0.08183001824763213,0.0066961518864078065,0.08183001824763213,0.9636059667229563,0.45777726526803164,DANGSUG
2020-06-01,14.15,12.8,14.15,12.8,2350000.0,9.69,0.0968992248062015,0.09248731272162015,0.008553903014466761,0.09248731272162015,1.1575771585584091,0.5418223936453026,DANGSUG
2020-06-02,14.05,14.15,14.8,14.05,5530000.0,-0.71,-0.007067137809187218,-0.007092228309491798,5.0299702393956895e-05,0.007092228309491798,1.166379250563595,0.5433823864449204,DANGSUG
2020-06-03,14.05,14.05,14.7,14.05,1900000.0,0.0,0.0,0.0,0.0,0.0,0.9817139083392759,0.5433823864449204,DANGSUG
2020-06-04,15.0,14.05,15.0,14.0,6170000.0,6.76,0.06761565836298922,0.0654278053224552,0.004280797709313096,0.0654278053224552,1.0833450005011578,0.577230007707617,DANGSUG
2020-06-05,14.95,15.0,14.95,14.2,3140000.0,-0.33,-0.0033333333333334103,-0.0033389012655147096,1.114826166085573e-05,0.0033389012655147096,0.7337493638592162,0.5778959601703704,DANGSUG
2020-06-08,14.55,14.95,14.95,14.45,5670000.0,-2.68,-0.026755852842809236,-0.02712030621919378,0.0007355110094228409,0.02712030621919378,0.5568727970479992,0.589782087595202,DANGSUG
2020-06-09,14.95,14.55,14.95,14.95,1050000.0,2.75,0.027491408934707806,0.02712030621919382,0.0007355110094228429,0.02712030621919382,0.560797271810891,0.5937159406809707,DANGSUG
2020-06-10,14.8,14.95,15.0,14.8,3540000.0,-1.0,-0.010033444816053394,-0.010084119066625935,0.00010168945734988871,0.010084119066625935,0.5791344823371171,0.5963201809967806,DANGSUG
2020-06-11,14.8,14.8,14.9,14.5,1110000.0,0.0,0.0,0.0,0.0,0.0,0.3122705994838581,0.5963201809967806,DANGSUG
2020-06-15,14.8,14.8,15.0,14.75,3490000.0,0.0,0.0,0.0,0.0,0.0,0.3127291733076922,0.5963201809967806,DANGSUG
2020-06-16,14.8,14.8,14.8,14.1,753640.0,0.0,0.0,0.0,0.0,0.0,0.22155520831317851,0.5963201809967806,DANGSUG
2020-06-17,14.5,14.8,14.55,14.25,2250000.0,-2.03,-0.020270270270270285,-0.020478531343540676,0.0004193702459883779,0.020478531343540676,0.1451117112748855,0.6034881427359085,DANGSUG
2020-06-18,14.5,14.5,14.5,14.5,580970.0,0.0,0.0,0.0,0.0,0.0,0.14538315032291158,0.6034881427359085,DANGSUG
2020-06-19,14.3,14.5,14.4,14.3,1190000.0,-1.38,-0.013793103448275779,-0.013889112160667037,0.00019290743661158898,0.013889112160667037,0.15391944000479882,0.6071171652834777,DANGSUG
2020-06-22,13.2,13.2,14.3,12.1,366900.0,-7.69,-0.07692307692307698,-0.0800427076735365,0.006406835051711218,0.0800427076735365,0.5265676819823439,0.6753644433338084,DANGSUG
2020-06-23,11.9,13.2,12.5,11.9,4990000.0,-9.85,-0.0984848484848484,-0.10367842947484138,0.010749216738369658,0.10367842947484138,0.7211896644244115,0.7670687349188559,DANGSUG
2020-06-24,11.9,11.9,12.0,11.9,2300000.0,0.0,0.0,0.0,0.0,0.0,0.7752140461309,0.7671721684633924,DANGSUG
2020-06-25,11.9,11.9,11.9,11.9,1610000.0,0.0,0.0,0.0,0.0,0.0,0.7752140461309,0.7671721684633924,DANGSUG
2020-06-26,11.9,11.9,12.0,11.6,400580.0,0.0,0.0,0.0,0.0,0.0,0.8096528356109937,0.688993948975052,DANGSUG
2020-06-29,12.0,11.9,12.0,12.0,929350.0,0.84,0.008403361344537785,0.00836824967051658,7.002760254810084e-05,0.00836824967051658,0.7530960169601395,0.6907857784644098,DANGSUG
2020-06-30,12.0,12.0,12.0,11.0,286260.0,0.0,0.0,0.0,0.0,0.0,0.05940867923480916,0.6355570551570308,DANGSUG
2020-07-01,11.7,12.0,11.7,11.7,972340.0,-2.5,-0.025000000000000022,-0.025317807984289897,0.0006409914011293733,0.025317807984289897,0.2029146973264327,0.5344900027435522,DANGSUG
2020-07-02,11.7,11.7,12.4,11.2,172600.0,0.0,0.0,0.0,0.0,0.0,0.2029146973264327,0.5353818315070002,DANGSUG
2020-07-03,11.7,11.7,11.9,11.55,511050.0,0.0,0.0,0.0,0.0,0.0,0.2029146973264327,0.5353818315070002,DANGSUG
2020-07-06,11.7,11.7,12.0,11.5,145450.0,0.0,0.0,0.0,0.0,0.0,0.17973860636190703,0.4644960659256771,DANGSUG
2020-07-07,11.7,11.7,12.4,11.55,351830.0,0.0,0.0,0.0,0.0,0.0,0.17973860636190703,0.4654083623474116,DANGSUG
2020-07-08,11.6,11.7,11.6,11.6,774180.0,-0.85,-0.008547008547008517,-0.008583743691391442,7.368065575950238e-05,0.008583743691391442,0.060938535019139733,0.4620737951030005,DANGSUG
2020-07-09,11.5,11.6,11.5,11.5,1050000.0,-0.86,-0.008620689655172376,-0.008658062743114541,7.49620504637081e-05,0.008658062743114541,0.0749584143981689,0.4412402652766352,DANGSUG
2020-07-10,11.6,11.5,11.6,11.6,411330.0,0.87,0.008695652173912993,0.008658062743114531,7.496205046370792e-05,0.008658062743114531,0.11471147897532369,0.44726522248132605,DANGSUG
