Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock
2020-01-02,6.5,6.15,6.5,6.0,60270000.0,5.69,,,,,,,FIRSTHOLDCO
2020-01-03,6.6,6.5,6.65,6.5,28530000.0,1.54,0.01538461538461533,0.01526747213078838,0.0002330957052643999,0.01526747213078838,,,FIRSTHOLDCO
2020-01-06,6.95,6.6,7.05,6.7,26390000.0,5.3,0.053030303030303205,0.05167201054432107,0.0026699966736924282,0.05167201054432107,,,FIRSTHOLDCO
2020-01-07,7.0,6.95,7.2,6.75,34720000.0,0.72,0.007194244604316502,0.007168489478612497,5.138724140497807e-05,0.007168489478612497,,,FIRSTHOLDCO
2020-01-08,7.7,7.0,7.7,7.0,69400000.0,10.0,0.10000000000000009,0.09531017980432493,0.009084030374332749,0.09531017980432493,,,FIRSTHOLDCO
2020-01-09,7.65,7.7,7.7,7.5,41620000.0,-0.65,-0.00649350649350644,-0.006514681021193642,4.244106880790063e-05,0.006514681021193642,0.6532433714745216,,FIRSTHOLDCO
2020-01-10,7.65,7.65,7.7,7.6,15450000.0,0.0,0.0,0.0,0.0,0.0,0.686862720608235,,FIRSTHOLDCO
2020-01-13,7.25,7.65,7.65,7.2,17810000.0,-5.23,-0.05228758169934644,-0.0537041789718611,0.0028841388390416878,0.0537041789718611,0.8587220803744733,,FIRSTHOLDCO
2020-01-14,7.0,7.25,7.3,7.0,21970000.0,-3.45,-0.03448275862068961,-0.03509131981127006,0.0012314007260968347,0.03509131981127006,0.9133710601511237,,FIRSTHOLDCO
2020-01-15,7.0,7.0,7.1,6.9,6920000.0,0.0,0.0,0.0,0.0,0.0,0.38404947236265297,,FIRSTHOLDCO
2020-01-16,7.4,7.0,7.4,7.15,13570000.0,5.71,0.05714285714285716,0.055569851154810786,0.0030880083573678256,0.055569851154810786,0.6632600010537733,,FIRSTHOLDCO
2020-01-17,7.35,7.4,7.55,7.35,17480000.0,-0.68,-0.006756756756756799,-0.006779686985378804,4.5964155619714735e-05,0.006779686985378804,0.6607222436642807,,FIRSTHOLDCO
2020-01-20,7.5,7.35,7.65,7.45,22810000.0,2.04,0.020408163265306145,0.02020270731751947,0.0004081493829573547,0.02020270731751947,0.535023881329414,,FIRSTHOLDCO
2020-01-21,7.5,7.5,7.55,7.45,9910000.0,0.0,0.0,0.0,0.0,0.0,0.4039523163230277,,FIRSTHOLDCO
2020-01-22,7.5,7.5,7.5,7.25,9410000.0,0.0,0.0,0.0,0.0,0.0,0.4039523163230277,,FIRSTHOLDCO
2020-01-23,7.5,7.5,7.5,7.3,6270000.0,0.0,0.0,0.0,0.0,0.0,0.16229268852110473,,FIRSTHOLDCO
2020-01-24,7.3,7.5,7.4,7.3,3530000.0,-2.67,-0.026666666666666727,-0.027028672387919374,0.0007305491310534752,0.027028672387919374,0.26674130635034565,,FIRSTHOLDCO
2020-01-27,7.0,7.3,7.25,7.0,11720000.0,-4.11,-0.041095890410958846,-0.04196419909903208,0.001760994006023205,0.04196419909903208,0.3114338004360505,,FIRSTHOLDCO
2020-01-28,7.05,7.0,7.1,6.95,13280000.0,0.71,0.0071428571428571175,0.007117467768863955,5.065834744081724e-05,0.007117467768863955,0.3345426238166381,,FIRSTHOLDCO
2020-01-29,6.95,7.05,7.1,6.95,12280000.0,-1.42,-0.014184397163120477,-0.014285957247476428,0.0002040885744767243,0.014285957247476428,0.3161159710053204,,FIRSTHOLDCO
2020-01-30,6.95,6.95,7.0,6.85,8300000.000000001,0.0,0.0,0.0,0.0,0.0,0.3161159710053204,,FIRSTHOLDCO
2020-01-31,6.55,6.95,6.9,6.35,20460000.0,-5.76,-0.05755395683453246,-0.05927660992954031,0.0035137164847388767,0.05927660992954031,0.4475191161987219,0.5723175416581168,FIRSTHOLDCO
2020-02-03,6.0,6.55,6.35,6.0,16489999.999999998,-8.4,-0.08396946564885499,-0.08770558041910557,0.007692268836652195,0.08770558041910557,0.6500919065634088,0.6450719056754104,FIRSTHOLDCO
2020-02-04,5.9,6.0,6.1,5.85,32659999.999999996,-1.67,-0.016666666666666607,-0.016807118316381174,0.00028247922610083557,0.016807118316381174,0.580581400432732,0.6126902147879226,FIRSTHOLDCO
2020-02-05,5.75,5.9,6.05,5.75,47130000.0,-2.54,-0.025423728813559365,-0.02575249610241474,0.0006631910555048863,0.02575249610241474,0.5593616866412197,0.6131698182533843,FIRSTHOLDCO
2020-02-06,6.0,5.75,6.25,5.9,57280000.0,4.35,0.04347826086956519,0.0425596144187959,0.0018113207794765802,0.0425596144187959,0.7793972556865878,0.5198265256277763,FIRSTHOLDCO
2020-02-07,6.0,6.0,6.1,5.95,15760000.0,0.0,0.0,0.0,0.0,0.0,0.7492534859548241,0.5211617638999506,FIRSTHOLDCO
2020-02-10,5.85,6.0,6.0,5.85,35910000.0,-2.5,-0.025000000000000022,-0.025317807984289897,0.0006409914011293733,0.025317807984289897,0.453868266642542,0.5214599153570394,FIRSTHOLDCO
2020-02-11,5.9,5.85,6.0,5.9,6310000.0,0.85,0.008547008547008739,0.00851068966790883,7.243183862345013e-05,0.00851068966790883,0.4481516592720153,0.5041810504323871,FIRSTHOLDCO
