Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock
2020-01-02,47.2,47.2,47.2,47.2,121520.0,0.0,,,,,,,NB
2020-01-03,44.88,47.2,44.88,44.88,1780000.0,-4.92,-0.04915254237288136,-0.05040163137706882,0.0025403244454699284,0.05040163137706882,,,NB
2020-01-06,44.88,44.88,44.88,44.88,458160.0,0.0,0.0,0.0,0.0,0.0,,,NB
2020-01-07,44.84,44.88,44.84,44.84,1810000.0,-0.09,-0.0008912655971479166,-0.0008916630104816811,7.950629242612545e-07,0.0008916630104816811,,,NB
2020-01-08,44.84,44.84,44.84,44.84,1920000.0,0.0,0.0,0.0,0.0,0.0,,,NB
2020-01-09,44.84,44.84,44.84,44.84,126400.0,0.0,0.0,0.0,0.0,0.0,0.35628626581700024,,NB
2020-01-10,44.84,44.84,44.84,44.84,153910.0,0.0,0.0,0.0,0.0,0.0,0.006330179411578946,,NB
2020-01-13,44.84,44.84,44.84,44.84,446950.0,0.0,0.0,0.0,0.0,0.0,0.006330179411578946,,NB
2020-01-14,40.88,44.84,40.88,40.88,604540.0,-8.83,-0.088314005352364,-0.0924596523085102,0.008548787305010597,0.0924596523085102,0.6563984157297564,,NB
2020-01-15,40.88,40.88,40.88,40.88,91470.0,0.0,0.0,0.0,0.0,0.0,0.6563984157297564,,NB
2020-01-16,40.88,40.88,40.88,40.88,266600.0,0.0,0.0,0.0,0.0,0.0,0.6563984157297564,,NB
2020-01-17,40.88,40.88,40.88,40.88,244540.0,0.0,0.0,0.0,0.0,0.0,0.6563984157297564,,NB
2020-01-20,40.88,40.88,40.88,40.88,206000.0,0.0,0.0,0.0,0.0,0.0,0.6563984157297564,,NB
2020-01-21,41.6,40.88,41.6,41.6,972560.0,1.76,0.017612524461839474,0.01745922137176855,0.0003048244109084197,0.01745922137176855,0.1239481759034168,,NB
2020-01-22,41.6,41.6,41.6,41.6,183190.0,0.0,0.0,0.0,0.0,0.0,0.1239481759034168,,NB
2020-01-23,41.6,41.6,41.6,41.6,357930.0,0.0,0.0,0.0,0.0,0.0,0.1239481759034168,,NB
2020-01-24,41.6,41.6,41.6,41.6,388310.0,0.0,0.0,0.0,0.0,0.0,0.1239481759034168,,NB
2020-01-27,43.2,41.6,43.2,42.4,3270000.0,3.85,0.03846153846153855,0.03774032798284711,0.0014243323562528728,0.03774032798284711,0.26560270931290975,,NB
2020-01-28,43.2,43.2,43.2,43.2,4300000.0,0.0,0.0,0.0,0.0,0.0,0.26792974966424465,,NB
2020-01-29,44.0,43.2,44.0,43.2,2160000.0,1.85,0.01851851851851838,0.0183491386681964,0.0003366908898647003,0.0183491386681964,0.2670290402063149,,NB
2020-01-30,44.0,44.0,44.0,44.0,77190.0,0.0,0.0,0.0,0.0,0.0,0.2670290402063149,,NB
2020-01-31,44.0,44.0,44.0,44.0,693800.0,0.0,0.0,0.0,0.0,0.0,0.2670290402063149,0.40349141696684404,NB
2020-02-03,44.0,44.0,44.0,44.0,209760.0,0.0,0.0,0.0,0.0,0.0,0.13026596197464974,0.3654026982464797,NB
2020-02-04,44.0,44.0,44.0,44.0,336200.0,0.0,0.0,0.0,0.0,0.0,0.13026596197464974,0.3654026982464797,NB
2020-02-05,41.2,44.0,41.2,41.2,5190000.0,-6.36,-0.0636363636363636,-0.06575137756278042,0.004323243651403305,0.06575137756278042,0.46678847461213796,0.4288550375744484,NB
2020-02-06,41.2,41.2,41.2,41.2,28410000.0,0.0,0.0,0.0,0.0,0.0,0.46678847461213796,0.4288550375744484,NB
