Date,Price,Open,High,Low,Vol,Change_%,simple_return,log_return,squared_return,abs_return,realized_vol_5d,realized_vol_21d,stock
2020-01-02,18.7,18.6,18.8,18.6,30910000.0,0.54,,,,,,,ZENITH
2020-01-03,19.25,18.7,19.3,18.75,63540000.0,2.94,0.02941176470588247,0.028987536873252406,0.0008402772939781678,0.028987536873252406,,,ZENITH
2020-01-06,20.0,19.25,20.0,19.25,97110000.0,3.9,0.03896103896103886,0.03822121282019767,0.0014608611094468428,0.03822121282019767,,,ZENITH
2020-01-07,21.0,20.0,21.2,19.9,73210000.0,5.0,0.050000000000000044,0.04879016416943204,0.0023804801196801303,0.04879016416943204,,,ZENITH
2020-01-08,21.8,21.0,22.2,21.05,86060000.0,3.81,0.03809523809523818,0.03738753207162041,0.001397827554406445,0.03738753207162041,,,ZENITH
2020-01-09,22.0,21.8,22.0,21.5,80780000.0,0.92,0.00917431192660545,0.009132483563272474,8.340225603344191e-05,0.009132483563272474,0.2355062084214383,,ZENITH
2020-01-10,21.85,22.0,22.1,21.8,29180000.0,-0.68,-0.006818181818181723,-0.0068415318167166,4.6806557599145546e-05,0.0068415318167166,0.3688315959141007,,ZENITH
2020-01-13,21.7,21.85,21.9,21.6,39500000.0,-0.69,-0.006864988558352492,-0.00688866099518538,4.7453650306588426e-05,0.00688866099518538,0.4066563792648595,,ZENITH
2020-01-14,21.3,21.7,21.8,21.25,69720000.0,-1.84,-0.018433179723502224,-0.018605187831034358,0.00034615301422806895,0.018605187831034358,0.34427945377551794,,ZENITH
2020-01-15,21.35,21.3,21.5,21.2,31550000.0,0.23,0.0023474178403755097,0.0023446669592540547,5.497463149817655e-06,0.0023446669592540547,0.1669277888179489,,ZENITH
2020-01-16,21.8,21.35,21.95,21.45,71830000.0,2.11,0.021077283372365363,0.020858230120409788,0.00043506576375597014,0.020858230120409788,0.2333466259954767,,ZENITH
2020-01-17,22.3,21.8,22.3,21.7,38280000.0,2.29,0.022935779816513735,0.02267670867102972,0.0005142331161507546,0.02267670867102972,0.2823350722145773,,ZENITH
2020-01-20,22.75,22.3,22.75,22.3,35000000.0,2.02,0.020179372197309364,0.019978466930886295,0.0003991391409085173,0.019978466930886295,0.28101931035030464,,ZENITH
2020-01-21,22.35,22.75,23.0,22.35,57810000.0,-1.76,-0.01758241758241752,-0.01773882433738152,0.0003146658888724789,0.01773882433738152,0.2755849497296813,,ZENITH
2020-01-22,22.0,22.35,22.2,21.5,25730000.0,-1.57,-0.015659955257270708,-0.015783867701262,0.00024913047961094175,0.015783867701262,0.3303600852015608,,ZENITH
2020-01-23,22.0,22.0,22.0,21.95,15230000.0,0.0,0.0,0.0,0.0,0.0,0.30333274630868373,,ZENITH
2020-01-24,21.95,22.0,22.0,21.9,11040000.0,-0.23,-0.002272727272727315,-0.0022753138371355394,5.1770530574604524e-06,0.0022753138371355394,0.24049499578516598,,ZENITH
2020-01-27,21.45,21.95,21.95,21.3,45450000.0,-2.28,-0.02277904328018221,-0.023042494147154355,0.0005309565365216427,0.023042494147154355,0.1602242533974923,,ZENITH
2020-01-28,21.15,21.45,21.3,21.0,34290000.0,-1.4,-0.013986013986014068,-0.014084739881739085,0.00019837989753625153,0.014084739881739085,0.15360911453383372,,ZENITH
2020-01-29,21.15,21.15,21.2,21.0,46570000.0,0.0,0.0,0.0,0.0,0.0,0.1634383182771106,,ZENITH
2020-01-30,21.15,21.15,21.35,21.1,23960000.0,0.0,0.0,0.0,0.0,0.0,0.1634383182771106,,ZENITH
2020-01-31,20.85,21.15,21.45,20.8,47420000.0,-1.42,-0.014184397163120477,-0.014285957247476428,0.0002040885744767243,0.014285957247476428,0.15968716588599574,0.33479018228656016,ZENITH
2020-02-03,19.9,20.85,20.85,19.75,47520000.0,-4.56,-0.045563549160671624,-0.04663421651436391,0.0021747501499085717,0.04663421651436391,0.30245741202767606,0.3678907057885114,ZENITH
2020-02-04,19.2,19.9,19.65,18.95,68480000.0,-3.52,-0.035175879396984855,-0.03580945269671078,0.0012823169024379667,0.03580945269671078,0.33579664157232003,0.3643566148060284,ZENITH
2020-02-05,19.2,19.2,19.9,19.0,98130000.0,0.0,0.0,0.0,0.0,0.0,0.33579664157232003,0.31455262039266263,ZENITH
2020-02-06,20.0,19.2,21.1,19.2,34290000.0,4.17,0.04166666666666674,0.0408219945202552,0.0016664352366117456,0.0408219945202552,0.5442929971106198,0.3204528888698675,ZENITH
2020-02-07,19.8,20.0,20.1,19.7,58630000.0,-1.0,-0.010000000000000009,-0.01005033585350145,0.00010100925076817673,0.01005033585350145,0.5436012039300894,0.317344223770562,ZENITH
2020-02-10,19.85,19.8,20.0,19.8,18570000.0,0.25,0.002525252525252597,0.002522069432709939,6.360834223409834e-06,0.002522069432709939,0.4386980241002483,0.31832216174224487,ZENITH
2020-02-11,20.0,19.85,20.0,19.9,30240000.0,0.76,0.007556675062972307,0.007528266420791588,5.667479530241819e-05,0.007528266420791588,0.30712076351779644,0.32090692273952776,ZENITH
2020-02-12,19.95,20.0,20.25,19.9,20710000.0,-0.25,-0.0025000000000000577,-0.0025031302181185884,6.2656608888584116e-06,0.0025031302181185884,0.31179153042914787,0.31641655050770157,ZENITH
2020-02-13,19.9,20.0,20.0,19.65,25410000.0,-0.25,-0.0025062656641604564,-0.002509411605425807,6.297146605445727e-06,0.002509411605425807,0.10396971712450911,0.31580685582069573,ZENITH
2020-02-14,19.65,19.9,19.95,19.65,21710000.0,-1.26,-0.012562814070351758,-0.012642393415176468,0.00015983011126409732,0.012642393415176468,0.11875748987371083,0.30457384416726296,ZENITH
