Date,Price,Open,High,Low,Vol.,Change %
3/27/2026,26,26,26.1,25.85,29.43M,0.00%
3/26/2026,26,26.05,26.05,25.8,134.59M,-0.19%
3/25/2026,26.05,26,26.25,26,42.77M,0.19%
3/24/2026,26,26,26.4,25.95,83.68M,0.39%
3/23/2026,25.9,25.7,26.1,25.7,54.75M,0.78%
3/18/2026,25.7,26,26,25.55,61.45M,-1.15%
3/17/2026,26,25.3,26.3,25.4,123.85M,2.77%
3/16/2026,25.3,24.9,25.35,24.9,69.86M,1.61%
3/13/2026,24.9,24.9,25,24.9,67.17M,0.00%
3/12/2026,24.9,25,25.5,24.8,28.12M,-0.40%
3/11/2026,25,25,25.3,24.9,59.03M,0.00%
3/10/2026,25,25,25.1,24.95,80.26M,0.00%
3/9/2026,25,25.95,25.85,24.5,48.27M,-3.66%
3/6/2026,25.95,26,26.25,25.9,43.21M,-0.19%
3/5/2026,26,26,26.15,26,29.74M,0.00%
3/4/2026,26,26.5,26.5,25.9,46.39M,-1.89%
3/3/2026,26.5,25.95,26.5,25.7,32.72M,2.12%
3/2/2026,25.95,26.5,26.15,25.75,30.70M,-2.08%
2/27/2026,26.5,26.2,26.85,26.3,44.77M,1.15%
2/26/2026,26.2,26.6,26.6,26,66.91M,-1.50%
2/25/2026,26.6,27,27,26,63.10M,-1.48%
2/24/2026,27,25.85,27.2,25.85,97.87M,4.45%
2/23/2026,25.85,25.9,26,25.7,26.57M,-0.19%
2/20/2026,25.9,26,26.3,25.85,21.61M,-0.38%
2/19/2026,26,25,26,24.55,51.89M,4.00%
2/18/2026,25,25.75,25.75,24.9,34.77M,-2.91%
2/17/2026,25.75,27.5,28,25.25,103.49M,-4.63%
2/16/2026,27,24.8,27,25,86.72M,8.87%
2/13/2026,24.8,24.15,24.9,24.05,28.15M,2.69%
2/12/2026,24.15,24,24.4,23.9,52.05M,0.62%
2/11/2026,24,24.1,24.4,23.8,61.36M,-0.41%
2/10/2026,24.1,23.05,25,23.05,135.53M,3.88%
2/9/2026,23.2,23,23.25,22.95,67.14M,0.87%
2/6/2026,23,23,23.45,22.85,57.24M,0.00%
2/5/2026,23,22.8,23.55,22.8,106.63M,0.88%
2/4/2026,22.8,22.75,22.8,22.6,21.88M,0.22%
2/3/2026,22.75,22.55,22.75,22.5,32.22M,0.89%
2/2/2026,22.55,22.4,22.7,22.4,18.67M,-0.22%
1/30/2026,22.6,22.95,22.95,22.6,30.98M,-0.88%
1/29/2026,22.8,22.6,23.1,22.5,18.34M,0.88%
1/28/2026,22.6,22.5,23,22.4,33.36M,0.44%
1/27/2026,22.5,22.05,22.8,22.35,26.46M,2.04%
1/26/2026,22.05,22.4,22.7,22.05,34.35M,-1.56%
1/23/2026,22.4,22.05,22.9,22.05,22.76M,1.59%
1/22/2026,22.05,22.95,22.95,22,54.28M,-3.92%
1/21/2026,22.95,22.9,22.95,22.8,40.11M,0.22%
1/20/2026,22.9,23,23,22.85,30.22M,0.00%
1/19/2026,22.9,22.75,23.65,22.85,52.88M,0.66%
1/16/2026,22.75,22.8,23.1,22.75,30.52M,-0.22%
1/15/2026,22.8,22.95,24.4,22.8,78.41M,-0.65%
1/14/2026,22.95,22.95,23.5,22.9,53.41M,0.00%
1/13/2026,22.95,23,23.5,22.85,86.23M,-0.22%
1/12/2026,23,22.65,23,22.75,28.87M,1.55%
1/9/2026,22.65,22.6,23,22.6,27.93M,0.22%
1/8/2026,22.6,22.9,24.1,22.6,35.52M,-1.31%
1/7/2026,22.9,23.5,23.75,22.75,29.74M,-2.55%
1/6/2026,23.5,25,25,23.3,48.73M,-6.00%
1/5/2026,25,23,25,22.1,34.72M,8.70%
1/2/2026,23,21,23,21.9,14.28M,9.52%
12/31/2025,21,21.35,21.9,21,57.60M,-1.64%
12/30/2025,21.35,21,22.4,21,75.07M,1.67%
12/29/2025,21,20.5,21,20.5,594.38M,2.44%
12/24/2025,20.5,20.5,20.75,20.5,38.18M,0.00%
12/23/2025,20.5,20.5,20.8,20.45,49.77M,0.00%
12/22/2025,20.5,20.5,20.95,20.5,27.32M,0.00%
12/19/2025,20.5,20.95,21,20.5,22.64M,-2.15%
12/18/2025,20.95,20.8,21,20.6,29.60M,0.72%
12/17/2025,20.8,20.1,20.9,20.05,41.51M,4.00%
12/16/2025,20,20,20.15,20,385.83M,0.00%
12/15/2025,20,20.05,20.6,20,67.93M,-0.50%
12/12/2025,20.1,20.2,20.35,20.05,106.07M,-0.50%
