"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","22.000","22.900","22.000","22.000","1.42M","-3.93%"
"03/26/2026","22.900","21.700","22.900","22.450","2.58M","5.53%"
"03/25/2026","21.700","20.750","21.700","21.000","2.49M","4.58%"
"03/24/2026","20.750","21.800","21.000","20.500","3.59M","-4.82%"
"03/23/2026","21.800","21.800","21.800","21.800","3.71M","0.00%"
"03/18/2026","21.800","21.800","21.800","21.800","1.16M","0.00%"
"03/17/2026","21.800","21.850","21.850","21.800","2.19M","-0.23%"
"03/16/2026","21.850","21.550","21.850","21.850","2.25M","1.39%"
"03/13/2026","21.550","21.950","21.550","20.500","1.57M","-1.82%"
"03/12/2026","21.950","21.950","21.950","21.950","683.48K","0.00%"
"03/11/2026","21.950","21.950","21.950","21.950","578.44K","0.00%"
"03/10/2026","21.950","21.950","21.950","21.950","1.79M","0.00%"
"03/09/2026","21.950","21.000","21.950","19.750","5.37M","4.52%"
"03/06/2026","21.000","21.850","21.850","21.000","4.67M","-3.89%"
"03/05/2026","21.850","22.550","21.850","21.000","3.63M","-3.10%"
"03/04/2026","22.550","22.900","24.850","22.550","4.49M","-1.53%"
"03/03/2026","22.900","22.900","23.000","22.100","2.84M","0.00%"
"03/02/2026","22.900","22.900","22.900","21.100","2.31M","0.00%"
"02/27/2026","22.900","22.900","22.900","21.500","1.61M","0.00%"
"02/26/2026","22.900","23.000","22.900","21.300","3.82M","-0.43%"
"02/25/2026","23.000","23.000","23.000","23.000","1.49M","0.00%"
"02/24/2026","23.000","23.000","23.000","22.650","5.05M","0.00%"
"02/23/2026","23.000","23.000","23.000","23.000","3.04M","0.00%"
"02/20/2026","23.000","23.000","23.000","22.550","4.40M","0.00%"
"02/19/2026","23.000","22.000","23.000","22.300","3.34M","4.55%"
"02/18/2026","22.000","23.450","22.200","22.000","5.76M","-6.18%"
"02/17/2026","23.450","23.250","23.450","21.050","5.16M","0.86%"
