Date,Price,Open,High,Low,Vol.,Change %
3/27/2026,810,810,810,800,857.88K,0.00%
3/26/2026,810,810,810,810,1.13M,0.00%
3/25/2026,810,810,810,810,599.72K,0.00%
3/24/2026,810,810,810,810,656.51K,0.00%
3/23/2026,810,810,810,810,4.16M,0.00%
3/18/2026,810,810,810,810,75.24M,0.00%
3/17/2026,810,802.9,810,810,2.78M,0.88%
3/16/2026,802.9,794.9,802.9,802.9,1.51M,1.01%
3/13/2026,794.9,810,794.9,794.9,3.70M,-1.86%
3/12/2026,810,810,810,810,26.89M,0.00%
3/11/2026,810,815,810,810,2.43M,-0.61%
3/10/2026,815,815,815,815,1.28M,0.00%
3/9/2026,815,815,815,815,810.89K,0.00%
3/6/2026,815,810,815,815,930.42K,0.62%
3/5/2026,810,809.9,810,809.9,1.43M,0.01%
3/4/2026,809.9,809.9,809.9,809.9,1.40M,0.00%
3/3/2026,809.9,809.9,809.9,809.9,2.12M,0.00%
3/2/2026,809.9,779,809.9,809.9,4.30M,3.97%
2/27/2026,779,829.5,779,763,1.60M,-6.09%
2/26/2026,829.5,829.5,829.5,829.5,461.89K,0.00%
2/25/2026,829.5,829.5,829.5,829.5,632.59K,0.00%
2/24/2026,829.5,799.9,829.5,790,4.13M,3.70%
2/23/2026,799.9,799.9,799.9,799.9,1.72M,0.00%
2/20/2026,799.9,799.9,799.9,799.9,445.89K,0.00%
2/19/2026,799.9,799.9,799.9,799.9,953.26K,0.00%
2/18/2026,799.9,799.9,799.9,799.9,1.45M,0.00%
2/17/2026,799.9,798.6,799.9,799.9,2.49M,0.16%
2/16/2026,798.6,726.3,798.6,779.8,2.27M,9.95%
2/13/2026,726.3,726.3,726.3,726.3,425.15K,0.00%
2/12/2026,726.3,739.9,726.3,726.3,1.99M,-1.84%
2/11/2026,739.9,739.9,739.9,739.9,2.01M,0.00%
2/10/2026,739.9,739.9,739.9,739.9,812.37K,0.00%
2/9/2026,739.9,680,739.9,710,1.79M,8.81%
2/6/2026,680,660,680,660.2,945.50K,3.03%
2/5/2026,660,649.9,660,659.9,1.33M,1.55%
2/4/2026,649.9,644,649.9,649.9,840.49K,0.92%
2/3/2026,644,635,644,643.9,1.07M,1.42%
2/2/2026,635,635,635,635,754.03K,0.00%
1/30/2026,635,635,635,635,574.80K,0.00%
1/29/2026,635,635,635,635,544.00K,0.00%
1/28/2026,635,635,635,635,494.87K,0.00%
1/27/2026,635,635,635,635,339.62K,0.00%
1/26/2026,635,635,635,635,658.04K,0.00%
1/23/2026,635,635,635,635,327.00K,0.00%
1/22/2026,635,635,635,635,266.51K,0.00%
1/21/2026,635,635,635,635,390.86K,0.00%
1/20/2026,635,635,635,635,298.88K,0.00%
1/19/2026,635,635,635,635,651.57K,0.00%
1/16/2026,635,635,635,635,615.72K,0.00%
1/15/2026,635,635,635,635,699.19K,0.00%
1/14/2026,635,635,635,635,1.51M,0.00%
1/13/2026,635,635,635,635,711.64K,0.00%
1/12/2026,635,635,635,635,1.01M,0.00%
1/9/2026,635,635,635,635,1.31M,0.00%
1/8/2026,635,635,635,635,970.04K,0.00%
1/7/2026,635,635,635,635,1.07M,0.00%
1/6/2026,635,609,635,635,1.95M,4.27%
1/5/2026,609,609,609,609,425.63K,0.00%
1/2/2026,609,609,609,609,170.78K,0.00%
12/31/2025,609,609,609,609,290.55K,0.00%
