"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","46.00","47.00","48.00","44.60","218.71K","0.00%"
"03/26/2026","46.00","46.00","46.00","46.00","345.80K","0.00%"
"03/25/2026","46.00","46.00","46.00","46.00","320.77K","0.00%"
"03/24/2026","46.00","46.00","46.00","46.00","355.31K","0.00%"
"03/23/2026","46.00","46.00","46.00","46.00","1.14M","0.00%"
"03/18/2026","46.00","46.00","46.00","46.00","115.47K","0.00%"
"03/17/2026","46.00","45.95","47.15","46.00","1.99M","0.11%"
"03/16/2026","45.95","45.95","45.95","45.95","509.02K","0.00%"
"03/13/2026","45.95","45.95","45.95","45.95","679.50K","0.00%"
"03/12/2026","45.95","46.00","46.00","45.95","865.27K","-0.11%"
"03/11/2026","46.00","46.00","46.00","46.00","937.42K","0.00%"
"03/10/2026","46.00","45.00","46.00","46.00","725.59K","2.22%"
"03/09/2026","45.00","45.00","45.00","45.00","394.05K","0.00%"
"03/06/2026","45.00","45.00","45.00","45.00","603.63K","0.00%"
"03/05/2026","45.00","45.00","45.00","45.00","212.50K","0.00%"
"03/04/2026","45.00","47.10","47.00","45.00","2.42M","-4.46%"
"03/03/2026","47.10","48.00","48.00","47.05","4.76M","-1.88%"
"03/02/2026","48.00","48.00","48.00","48.00","738.96K","0.00%"
"02/27/2026","48.00","48.00","48.00","48.00","4.99M","0.00%"
"02/26/2026","48.00","48.00","48.00","48.00","2.66M","0.00%"
"02/25/2026","48.00","48.00","48.00","47.50","4.29M","0.00%"
"02/24/2026","48.00","47.00","48.00","48.00","2.25M","2.13%"
"02/23/2026","47.00","47.60","48.50","47.00","4.50M","-1.26%"
"02/20/2026","47.60","45.00","47.60","46.45","3.04M","5.78%"
"02/19/2026","45.00","45.00","45.00","45.00","430.68K","0.00%"
"02/18/2026","45.00","43.00","45.00","45.00","1.24M","4.65%"
"02/17/2026","43.00","44.00","45.00","43.00","4.71M","-2.27%"
"02/16/2026","44.00","45.00","44.00","44.00","5.77M","-2.22%"
"02/13/2026","45.00","45.00","45.00","45.00","6.52M","0.00%"
"02/12/2026","45.00","49.30","45.00","45.00","5.26M","-8.72%"
"02/11/2026","49.30","49.30","49.30","49.30","3.18M","0.00%"
"02/10/2026","49.30","49.30","49.30","49.30","2.66M","0.00%"
"02/09/2026","49.30","51.90","50.00","49.00","1.94M","-5.01%"
"02/06/2026","51.90","48.00","51.90","49.50","928.33K","8.13%"
"02/05/2026","48.00","48.00","48.00","48.00","416.29K","0.00%"
"02/04/2026","48.00","48.40","48.40","48.00","1.17M","9.09%"
"02/03/2026","44.00","44.00","44.00","44.00","5.20M","0.00%"
"02/02/2026","44.00","48.00","48.00","44.00","11.64M","-8.33%"
"01/30/2026","48.00","48.00","48.00","48.00","133.38K","0.00%"
"01/29/2026","48.00","48.00","48.00","48.00","178.00K","0.00%"
"01/28/2026","48.00","48.00","48.00","48.00","447.78K","0.00%"
"01/27/2026","48.00","48.00","48.00","48.00","504.08K","0.00%"
"01/26/2026","48.00","47.00","48.00","48.00","2.45M","2.13%"
"01/23/2026","47.00","47.00","47.00","47.00","193.05K","0.00%"
"01/22/2026","47.00","47.00","47.00","47.00","434.95K","0.00%"
"01/21/2026","47.00","50.00","47.00","47.00","517.75K","-6.00%"
"01/20/2026","50.00","50.00","50.00","50.00","250.53K","0.00%"
"01/19/2026","50.00","47.00","50.00","50.00","1.68M","6.38%"
"01/16/2026","47.00","47.00","47.00","47.00","789.36K","0.00%"
"01/15/2026","47.00","45.00","47.00","47.00","910.82K","4.44%"
"01/14/2026","45.00","45.00","45.00","45.00","377.36K","0.00%"
"01/13/2026","45.00","45.00","45.00","44.65","3.45M","0.00%"
"01/12/2026","45.00","44.65","45.00","44.95","2.12M","0.78%"
"01/09/2026","44.65","43.50","44.65","44.65","307.99K","2.64%"
"01/08/2026","43.50","42.00","43.75","43.50","1.39M","3.57%"
"01/07/2026","42.00","45.90","45.00","42.00","18.64M","-8.50%"
"01/06/2026","45.90","45.90","45.90","45.90","628.90K","0.00%"
"01/05/2026","45.90","41.90","45.90","45.90","425.66K","9.55%"
"01/02/2026","41.90","41.90","41.90","41.90","123.93K","0.00%"
"12/31/2025","41.90","42.00","41.90","41.90","424.91K","-0.24%"
"12/30/2025","42.00","41.80","42.00","42.00","3.26M","0.48%"
"12/29/2025","41.80","38.00","41.80","41.80","1.20M","10.00%"
"12/24/2025","38.00","38.00","38.00","38.00","223.75K","0.00%"
"12/23/2025","38.00","38.00","38.00","38.00","285.65K","0.00%"
"12/22/2025","38.00","37.90","38.00","37.90","7.87M","0.26%"
"12/19/2025","37.90","37.90","37.90","37.90","285.80K","0.00%"
"12/18/2025","37.90","36.50","37.90","37.90","571.19K","3.84%"
"12/17/2025","36.50","36.50","36.50","36.50","213.09K","0.00%"
"12/16/2025","36.50","36.50","36.50","36.50","129.96K","0.00%"
"12/15/2025","36.50","36.50","36.50","36.50","83.70K","0.00%"
"12/12/2025","36.50","36.50","36.50","36.50","79.18K","0.00%"
"12/11/2025","36.50","36.50","36.50","36.50","81.81K","0.00%"
"12/10/2025","36.50","36.50","36.50","36.50","328.65K","0.00%"
"12/09/2025","36.50","36.50","37.00","36.50","670.71K","0.00%"
"12/08/2025","36.50","36.50","36.50","36.50","240.54K","0.00%"
"12/05/2025","36.50","36.90","36.50","36.50","588.17K","-1.08%"
"12/04/2025","36.90","34.00","36.90","34.00","21.88M","8.53%"
"12/03/2025","34.00","34.65","34.00","34.00","20.96M","-1.88%"
"12/02/2025","34.65","34.65","34.65","34.65","42.16K","0.00%"
"12/01/2025","34.65","34.65","34.65","34.65","241.81K","0.00%"
"11/28/2025","34.65","34.65","34.65","34.65","135.51K","0.00%"
"11/27/2025","34.65","34.65","34.65","34.65","353.84K","0.00%"
"11/26/2025","34.65","34.65","34.65","34.65","345.92K","0.00%"
"11/25/2025","34.65","34.65","34.65","34.65","140.36K","0.00%"
"11/24/2025","34.65","34.65","34.65","34.65","101.90K","0.00%"
"11/21/2025","34.65","34.65","34.65","34.65","72.73K","0.00%"
"11/20/2025","34.65","34.65","34.65","34.65","95.35K","0.00%"
"11/19/2025","34.65","34.65","34.65","34.65","302.54K","0.00%"
"11/18/2025","34.65","34.65","34.65","34.65","98.21K","0.00%"
"11/17/2025","34.65","34.65","34.65","34.65","283.64K","0.00%"
"11/14/2025","34.65","34.65","34.65","34.65","1.22M","0.00%"
"11/13/2025","34.65","34.65","34.65","34.65","104.17K","0.00%"
"11/12/2025","34.65","34.50","34.65","33.65","1.08M","10.00%"
"11/11/2025","31.50","34.50","34.00","31.50","960.32K","-8.70%"
"11/10/2025","34.50","35.50","34.50","34.50","454.58K","-2.82%"
"11/07/2025","35.50","36.00","36.00","35.50","475.46K","-1.39%"
"11/06/2025","36.00","37.50","37.00","36.00","1.67M","-4.00%"
"11/05/2025","37.50","38.20","37.50","37.50","1.77M","-1.83%"
"11/04/2025","38.20","39.00","38.20","38.20","3.51M","-2.05%"
"11/03/2025","39.00","38.95","39.00","38.00","2.82M","0.13%"
"10/31/2025","38.95","39.90","39.00","38.70","2.14M","-2.38%"
"10/30/2025","39.90","38.20","39.90","38.55","1.26M","4.45%"
"10/29/2025","38.20","37.45","38.95","37.45","3.84M","2.00%"
"10/28/2025","37.45","36.00","37.70","36.10","4.66M","4.03%"
"10/27/2025","36.00","36.00","36.00","36.00","339.90K","0.00%"
"10/24/2025","36.00","36.20","36.00","36.00","1.11M","-0.55%"
"10/23/2025","36.20","36.00","36.20","36.00","1.15M","0.56%"
"10/22/2025","36.00","36.00","36.00","36.00","1.24M","0.00%"
"10/21/2025","36.00","36.00","36.00","36.00","137.24K","0.00%"
"10/20/2025","36.00","36.00","36.00","36.00","205.33K","0.00%"
"10/17/2025","36.00","35.30","36.00","36.00","1.91M","1.98%"
"10/16/2025","35.30","35.30","35.30","35.30","400.92K","0.00%"
"10/15/2025","35.30","35.50","35.30","35.30","1.69M","-0.56%"
"10/14/2025","35.50","35.50","35.50","35.50","547.60K","0.00%"
"10/13/2025","35.50","35.50","35.50","35.50","222.12K","0.00%"
"10/10/2025","35.50","35.50","35.50","35.50","171.01K","0.00%"
"10/09/2025","35.50","35.50","35.50","35.50","100.90K","0.00%"
"10/08/2025","35.50","35.50","35.50","35.50","637.69K","0.00%"
"10/07/2025","35.50","35.30","35.50","35.50","459.14K","0.57%"
"10/06/2025","35.30","35.30","35.30","35.30","620.81K","0.00%"
"10/03/2025","35.30","35.30","35.30","35.30","159.56K","0.00%"
"10/02/2025","35.30","36.00","35.30","35.30","2.44M","-1.94%"
"09/30/2025","36.00","36.50","36.00","35.50","1.53M","-1.37%"
"09/29/2025","36.50","36.50","36.50","36.50","810.68K","0.00%"
"09/26/2025","36.50","36.50","36.50","36.50","866.42K","0.00%"
"09/25/2025","36.50","36.50","36.50","36.50","321.21K","0.00%"
"09/24/2025","36.50","36.50","36.50","36.50","753.60K","0.00%"
"09/23/2025","36.50","36.50","36.50","36.50","751.74K","0.00%"
"09/22/2025","36.50","36.50","36.50","36.50","303.01K","0.00%"
"09/19/2025","36.50","36.00","36.50","36.00","3.16M","1.39%"
"09/18/2025","36.00","36.00","36.00","36.00","258.15K","0.00%"
"09/17/2025","36.00","36.00","36.00","36.00","11.38M","0.00%"
"09/16/2025","36.00","36.00","36.00","36.00","1.92M","0.00%"
"09/15/2025","36.00","36.00","36.00","36.00","407.09K","0.00%"
"09/12/2025","36.00","36.00","36.00","36.00","300.51K","0.00%"
"09/11/2025","36.00","36.00","36.00","36.00","447.22K","0.00%"
"09/10/2025","36.00","36.00","36.00","36.00","314.84K","0.00%"
"09/09/2025","36.00","36.00","36.00","36.00","113.51K","0.00%"
"09/08/2025","36.00","36.00","36.00","36.00","356.00K","0.00%"
"09/04/2025","36.00","36.00","36.00","36.00","111.72K","0.00%"
"09/03/2025","36.00","36.00","36.00","36.00","390.54K","0.00%"
"09/02/2025","36.00","36.10","36.15","36.00","878.38K","-0.28%"
"09/01/2025","36.10","36.55","36.55","36.10","1.24M","-1.23%"
"08/29/2025","36.55","36.55","36.55","36.55","194.03K","0.00%"
"08/28/2025","36.55","36.50","36.55","36.55","658.69K","0.14%"
"08/27/2025","36.50","36.50","36.50","36.50","5.61M","0.00%"
"08/26/2025","36.50","39.20","36.55","36.50","6.04M","-6.89%"
"08/25/2025","39.20","39.20","39.20","39.20","1.22M","0.00%"
"08/22/2025","39.20","39.20","39.20","39.20","892.24K","0.00%"
"08/21/2025","39.20","39.20","39.20","39.20","939.08K","0.00%"
"08/20/2025","39.20","39.20","39.20","39.20","1.23M","0.00%"
"08/19/2025","39.20","39.20","39.25","38.90","12.71M","0.00%"
"08/18/2025","39.20","38.80","39.20","38.85","13.47M","1.03%"
"08/15/2025","38.80","38.05","38.80","38.80","2.67M","1.97%"
"08/14/2025","38.05","37.80","38.05","37.80","16.51M","0.66%"
"08/13/2025","37.80","37.50","37.80","37.50","4.06M","0.80%"
"08/12/2025","37.50","37.05","37.70","37.45","13.77M","1.21%"
"08/11/2025","37.05","37.00","37.50","37.00","29.27M","0.14%"
"08/08/2025","37.00","37.00","37.00","37.00","28.78M","0.00%"
"08/07/2025","37.00","36.00","37.00","36.00","2.00M","2.78%"
"08/06/2025","36.00","35.50","36.00","36.00","486.46K","1.41%"
"08/05/2025","35.50","34.00","35.50","35.50","2.22M","4.41%"
"08/04/2025","34.00","37.45","36.00","34.00","2.40M","-9.21%"
"08/01/2025","37.45","37.45","37.45","37.45","990.53K","0.00%"
"07/31/2025","37.45","37.50","37.50","37.00","7.76M","-0.13%"
"07/30/2025","37.50","36.60","37.50","37.50","25.70M","2.46%"
"07/29/2025","36.60","35.00","36.60","35.00","4.26M","7.65%"
"07/28/2025","34.00","32.00","34.90","34.00","1.21M","6.25%"
"07/25/2025","32.00","34.00","33.35","31.00","4.55M","-5.88%"
"07/24/2025","34.00","34.90","34.00","33.55","933.24K","-2.58%"
"07/23/2025","34.90","34.90","34.90","34.50","1.94M","0.00%"
"07/22/2025","34.90","34.90","34.90","34.90","210.60K","0.00%"
"07/21/2025","34.90","35.00","35.00","34.90","2.96M","-0.29%"
"07/18/2025","35.00","34.95","35.00","34.95","1.88M","0.00%"
"07/17/2025","35.00","35.00","35.00","35.00","5.54M","0.00%"
"07/16/2025","35.00","34.50","35.00","34.50","13.49M","1.45%"
"07/14/2025","34.50","33.95","34.50","34.50","1.52M","1.62%"
"07/11/2025","33.95","31.00","33.95","33.95","865.67K","9.52%"
"07/10/2025","31.00","31.00","31.00","31.00","49.70M","0.00%"
"07/09/2025","31.00","31.00","31.00","31.00","4.79M","0.00%"
"07/08/2025","31.00","31.00","31.00","31.00","1.37M","0.00%"
"07/07/2025","31.00","31.00","31.00","31.00","2.75M","0.00%"
"07/04/2025","31.00","30.50","31.00","30.50","1.71M","1.64%"
"07/03/2025","30.50","31.00","30.80","30.50","1.39M","-1.61%"
"07/02/2025","31.00","31.00","31.00","31.00","6.83M","0.00%"
"07/01/2025","31.00","30.90","31.00","31.00","6.64M","0.32%"
"06/30/2025","30.90","31.00","31.00","30.90","6.19M","-0.32%"
"06/27/2025","31.00","31.00","31.00","31.00","289.45K","0.00%"
"06/26/2025","31.00","31.00","31.00","31.00","676.58K","0.00%"
"06/25/2025","31.00","31.00","31.00","31.00","566.82K","0.00%"
"06/24/2025","31.00","30.50","31.00","30.50","2.03M","1.64%"
"06/23/2025","30.50","30.50","30.50","30.50","612.99K","0.00%"
"06/20/2025","30.50","30.50","30.50","30.50","442.71K","0.00%"
"06/19/2025","30.50","30.50","30.50","30.50","243.90K","0.00%"
"06/18/2025","30.50","30.50","30.50","30.50","191.29K","0.00%"
"06/17/2025","30.50","30.00","30.50","30.00","51.73M","1.67%"
"06/16/2025","30.00","30.00","30.00","30.00","1.23M","0.00%"
"06/13/2025","30.00","30.35","30.00","30.00","3.16M","-1.15%"
"06/11/2025","30.35","31.35","31.35","30.35","4.36M","-3.19%"
