"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","50.50","50.50","51.80","50.45","5.47M","-0.98%"
"03/26/2026","51.00","51.00","51.50","50.90","7.24M","0.10%"
"03/25/2026","50.95","52.00","52.50","50.90","7.86M","-2.02%"
"03/24/2026","52.00","53.60","53.00","52.00","32.31M","-2.99%"
"03/23/2026","53.60","53.00","53.60","52.00","9.25M","1.13%"
"03/18/2026","53.00","52.00","53.00","51.50","10.73M","1.92%"
"03/17/2026","52.00","50.00","52.25","50.00","18.11M","4.00%"
"03/16/2026","50.00","50.00","50.85","50.00","67.03M","0.00%"
"03/13/2026","50.00","50.00","50.20","50.00","70.83M","0.00%"
"03/12/2026","50.00","50.00","50.00","49.80","27.72M","0.00%"
"03/11/2026","50.00","50.00","50.05","49.85","19.78M","0.00%"
"03/10/2026","50.00","50.00","50.25","50.00","7.73M","0.00%"
"03/09/2026","50.00","52.00","51.60","49.65","16.71M","-3.85%"
"03/06/2026","52.00","52.50","52.00","50.90","43.91M","-0.95%"
"03/05/2026","52.50","52.95","52.70","52.50","3.84M","-0.85%"
"03/04/2026","52.95","53.00","53.00","52.90","24.18M","-0.09%"
"03/03/2026","53.00","53.75","55.00","52.90","13.66M","-1.40%"
"03/02/2026","53.75","53.95","54.00","53.00","9.23M","-0.37%"
"02/27/2026","53.95","54.00","57.00","52.05","20.66M","-0.09%"
"02/26/2026","54.00","51.50","54.00","52.00","9.26M","4.85%"
"02/25/2026","51.50","56.20","56.50","51.05","14.52M","-8.36%"
"02/24/2026","56.20","56.00","57.00","56.00","15.80M","0.36%"
"02/23/2026","56.00","54.00","56.30","54.00","10.01M","3.70%"
"02/20/2026","54.00","52.00","54.00","52.00","10.88M","3.85%"
"02/19/2026","52.00","48.75","52.00","49.00","12.56M","6.67%"
"02/18/2026","48.75","48.50","48.95","48.50","5.47M","0.52%"
"02/17/2026","48.50","48.30","48.95","48.30","54.32M","0.41%"
"02/16/2026","48.30","48.15","49.00","48.05","8.11M","0.31%"
"02/13/2026","48.15","48.00","48.90","48.05","106.34M","0.31%"
"02/12/2026","48.00","48.00","48.90","47.90","4.41M","0.00%"
"02/11/2026","48.00","48.00","48.80","48.00","22.99M","0.00%"
"02/10/2026","48.00","47.10","49.75","47.60","38.61M","1.91%"
"02/09/2026","47.10","47.00","48.50","47.10","4.17M","0.21%"
"02/06/2026","47.00","49.75","49.75","47.00","7.43M","-5.53%"
"02/05/2026","49.75","48.75","50.00","49.00","6.89M","2.05%"
"02/04/2026","48.75","43.00","48.75","43.00","35.33M","9.92%"
"02/03/2026","44.35","41.05","45.15","41.60","26.42M","8.04%"
"02/02/2026","41.05","41.00","41.50","40.60","27.63M","-8.78%"
"01/30/2026","45.00","47.50","45.10","45.00","4.99M","-5.26%"
"01/29/2026","47.50","46.00","47.50","46.00","3.82M","3.26%"
"01/28/2026","46.00","47.05","47.10","46.00","4.58M","-2.23%"
"01/27/2026","47.05","49.00","47.30","47.05","3.71M","-3.98%"
"01/26/2026","49.00","49.00","49.00","49.00","4.19M","0.00%"
"01/23/2026","49.00","50.00","49.00","49.00","2.41M","-2.00%"
"01/22/2026","50.00","50.00","50.40","49.95","13.92M","0.00%"
"01/21/2026","50.00","50.00","50.45","49.05","10.71M","0.00%"
"01/20/2026","50.00","51.00","50.35","49.55","7.02M","-1.96%"
"01/19/2026","51.00","52.00","52.00","50.50","9.13M","-1.92%"
"01/16/2026","52.00","52.00","52.05","51.90","6.66M","0.00%"
"01/15/2026","52.00","50.00","52.50","51.50","23.04M","4.00%"
"01/14/2026","50.00","49.50","52.85","49.95","12.94M","1.01%"
"01/13/2026","49.50","48.50","49.50","48.20","7.68M","2.06%"
"01/12/2026","48.50","46.10","48.50","46.10","10.16M","5.21%"
"01/09/2026","46.10","47.00","47.00","46.10","7.49M","-1.91%"
"01/08/2026","47.00","48.00","47.75","47.00","3.37M","-2.08%"
"01/07/2026","48.00","48.45","49.00","47.90","9.63M","-0.93%"
"01/06/2026","48.45","48.95","49.00","48.35","10.50M","-1.02%"
"01/05/2026","48.95","48.80","49.65","48.35","9.58M","0.31%"
"01/02/2026","48.80","47.90","48.80","46.90","8.14M","1.88%"
"12/31/2025","47.90","44.40","47.90","41.00","28.08M","7.88%"
"12/30/2025","44.40","49.00","49.00","44.40","25.75M","-9.94%"
"12/29/2025","49.30","52.90","52.90","48.20","51.53M","-6.98%"
"12/24/2025","53.00","50.30","55.30","50.30","40.88M","5.37%"
"12/23/2025","50.30","45.00","50.35","45.00","45.81M","9.35%"
"12/22/2025","46.00","44.95","46.80","44.95","32.62M","2.34%"
"12/19/2025","44.95","42.65","46.90","42.65","52.15M","5.39%"
"12/18/2025","42.65","39.60","43.55","36.80","385.62M","7.70%"
"12/17/2025","39.60","36.00","39.60","36.00","108.15M","10.00%"
"12/16/2025","36.00","34.55","36.90","32.35","51.92M","4.20%"
"12/15/2025","34.55","31.45","34.55","30.15","28.59M","9.86%"
"12/12/2025","31.45","31.35","31.60","31.00","14.94M","0.32%"
"12/11/2025","31.35","31.70","31.35","31.05","20.20M","-1.10%"
"12/10/2025","31.70","31.65","31.70","31.55","5.47M","0.16%"
"12/09/2025","31.65","31.55","31.95","31.55","7.38M","0.32%"
"12/08/2025","31.55","31.50","31.55","31.50","6.38M","0.16%"
"12/05/2025","31.50","31.55","31.55","31.50","9.67M","-0.16%"
"12/04/2025","31.55","31.45","31.55","31.50","6.29M","0.32%"
"12/03/2025","31.45","31.05","31.45","31.45","2.71M","1.29%"
"12/02/2025","31.05","31.05","31.05","31.00","6.62M","0.00%"
