"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","13.90","14.40","14.70","13.15","1.69M","-3.47%"
"03/26/2026","14.40","14.40","14.40","14.40","1.78M","0.00%"
"03/25/2026","14.40","14.35","14.40","14.40","882.47K","0.35%"
"03/24/2026","14.35","13.60","14.35","14.35","651.82K","5.51%"
"03/23/2026","13.60","14.05","14.90","13.60","7.52M","-3.20%"
"03/18/2026","14.05","14.00","14.80","14.00","3.57M","0.36%"
"03/17/2026","14.00","14.95","14.05","14.00","1.63M","-6.35%"
"03/16/2026","14.95","14.95","14.95","13.60","11.96M","0.00%"
"03/13/2026","14.95","14.95","14.95","14.70","3.64M","0.00%"
"03/12/2026","14.95","14.70","14.95","14.70","5.34M","1.70%"
"03/11/2026","14.70","15.00","14.70","14.00","7.01M","-2.00%"
"03/10/2026","15.00","14.70","15.00","14.95","19.32M","2.04%"
"03/09/2026","14.70","13.60","14.70","14.00","3.40M","8.09%"
"03/06/2026","13.60","14.90","13.60","13.60","835.29K","-8.72%"
"03/05/2026","14.90","15.00","15.00","13.50","5.88M","-0.67%"
"03/04/2026","15.00","15.25","15.00","15.00","1.28M","-1.64%"
"03/03/2026","15.25","14.95","15.50","14.75","15.57M","2.01%"
"03/02/2026","14.95","14.50","14.95","14.40","11.11M","3.10%"
"02/27/2026","14.50","14.50","14.50","14.50","1.82M","0.00%"
"02/26/2026","14.50","14.50","14.50","14.50","924.21K","0.00%"
"02/25/2026","14.50","14.65","14.70","13.50","2.48M","-1.02%"
"02/24/2026","14.65","14.65","14.65","14.10","2.27M","0.00%"
"02/23/2026","14.65","14.80","14.65","13.65","2.12M","-1.01%"
"02/20/2026","14.80","14.95","14.95","14.80","2.50M","-1.00%"
"02/19/2026","14.95","14.80","14.95","14.90","2.06M","1.01%"
"02/18/2026","14.80","14.40","14.90","14.35","11.54M","2.78%"
"02/17/2026","14.40","15.00","14.70","13.50","10.38M","-4.00%"
"02/16/2026","15.00","15.00","15.00","14.65","10.81M","0.00%"
"02/13/2026","15.00","15.00","15.00","14.95","18.45M","0.00%"
"02/12/2026","15.00","15.00","15.00","14.95","2.04M","0.00%"
"02/11/2026","15.00","15.00","15.00","14.75","6.30M","0.00%"
"02/10/2026","15.00","15.30","15.30","15.00","2.48M","-1.96%"
"02/09/2026","15.30","15.00","15.30","14.60","10.39M","2.00%"
