"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","71.00","73.30","71.00","70.70","19.20M","-3.14%"
"03/26/2026","73.30","71.95","74.00","73.30","4.86M","1.88%"
"03/25/2026","71.95","70.00","71.95","71.95","1.31M","2.79%"
"03/24/2026","70.00","70.00","70.50","67.00","36.00M","0.00%"
"03/23/2026","70.00","75.50","76.00","70.00","20.14M","-7.28%"
"03/18/2026","75.50","76.00","78.00","75.00","7.44M","-0.66%"
"03/17/2026","76.00","78.00","77.70","76.00","2.90M","-2.56%"
"03/16/2026","78.00","78.00","78.10","73.00","55.03M","0.00%"
"03/13/2026","78.00","78.00","78.00","78.00","807.69K","0.00%"
"03/12/2026","78.00","78.00","78.00","78.00","836.22K","0.00%"
"03/11/2026","78.00","79.10","80.00","78.00","16.13M","-1.39%"
"03/10/2026","79.10","80.00","80.00","79.10","2.20M","-1.13%"
"03/09/2026","80.00","82.00","80.00","80.00","1.75M","-2.44%"
"03/06/2026","82.00","80.00","82.00","82.00","11.02M","2.50%"
"03/05/2026","80.00","80.00","80.00","80.00","842.25K","0.00%"
"03/04/2026","80.00","80.45","80.00","79.50","5.75M","-0.56%"
"03/03/2026","80.45","80.00","80.45","80.45","2.93M","0.56%"
"03/02/2026","80.00","79.95","80.00","80.00","2.34M","0.06%"
"02/27/2026","79.95","79.95","79.95","79.95","3.04M","0.00%"
"02/26/2026","79.95","80.00","79.95","79.95","2.51M","-0.06%"
"02/25/2026","80.00","81.50","80.50","80.00","7.59M","-1.84%"
"02/24/2026","81.50","82.35","82.00","81.50","10.70M","-1.03%"
"02/23/2026","82.35","82.00","83.00","82.35","7.73M","0.43%"
"02/20/2026","82.00","80.00","82.00","80.00","2.41M","2.50%"
"02/19/2026","80.00","80.00","80.00","79.95","2.02M","0.00%"
"02/18/2026","80.00","80.00","80.00","80.00","9.56M","0.00%"
"02/17/2026","80.00","80.50","80.00","80.00","9.04M","-0.62%"
"02/16/2026","80.50","78.00","84.95","80.00","7.48M","3.21%"
"02/13/2026","78.00","81.00","85.00","78.00","21.77M","-3.70%"
"02/12/2026","81.00","81.95","82.00","81.00","14.77M","-1.16%"
"02/11/2026","81.95","81.00","86.00","81.00","18.71M","1.17%"
"02/10/2026","81.00","80.90","82.00","80.00","24.09M","0.12%"
"02/09/2026","80.90","78.80","80.90","80.90","1.58M","2.66%"
"02/06/2026","78.80","78.80","78.80","78.80","1.41M","0.00%"
"02/05/2026","78.80","78.80","78.80","78.80","454.01K","0.00%"
"02/04/2026","78.80","78.80","78.80","78.80","875.56K","0.00%"
"02/03/2026","78.80","78.80","78.80","78.80","1.33M","0.00%"
"02/02/2026","78.80","78.80","78.80","78.80","512.19K","0.00%"
"01/30/2026","78.80","78.00","79.00","78.80","1.18M","1.03%"
