"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","3,395.00","3,395.00","3,395.00","3,395.00","66.01K","0.00%"
"03/26/2026","3,395.00","3,395.00","3,395.00","3,395.00","25.42K","0.00%"
"03/25/2026","3,395.00","3,395.00","3,395.00","3,395.00","10.30K","0.00%"
"03/24/2026","3,395.00","3,395.00","3,395.00","3,395.00","12.63K","0.00%"
"03/23/2026","3,395.00","3,395.00","3,395.00","3,395.00","23.56K","0.00%"
"03/18/2026","3,395.00","3,250.00","3,395.00","3,250.00","2.09M","4.46%"
"03/17/2026","3,250.00","3,250.00","3,250.00","3,250.00","1.03M","0.00%"
"03/16/2026","3,250.00","3,250.00","3,250.00","3,250.00","39.30K","0.00%"
"03/13/2026","3,250.00","3,250.00","3,250.00","3,250.00","6.04K","0.00%"
"03/12/2026","3,250.00","3,250.00","3,250.00","3,250.00","98.83K","0.00%"
"03/11/2026","3,250.00","3,250.00","3,250.00","3,250.00","30.19K","0.00%"
"03/10/2026","3,250.00","3,250.00","3,250.00","3,250.00","130.09K","0.00%"
"03/09/2026","3,250.00","3,250.00","3,250.00","3,250.00","35.21K","0.00%"
"03/06/2026","3,250.00","3,250.00","3,250.00","3,250.00","40.03K","0.00%"
"03/05/2026","3,250.00","3,100.00","3,250.00","3,250.00","367.68K","4.84%"
"03/04/2026","3,100.00","3,100.00","3,100.00","3,100.00","23.28K","0.00%"
"03/03/2026","3,100.00","3,100.00","3,100.00","3,100.00","23.65K","0.00%"
"03/02/2026","3,100.00","3,100.00","3,100.00","3,100.00","88.18K","0.00%"
"02/27/2026","3,100.00","3,100.00","3,100.00","3,100.00","20.94K","0.00%"
"02/26/2026","3,100.00","3,100.00","3,100.00","3,100.00","84.23K","0.00%"
"02/25/2026","3,100.00","3,100.00","3,100.00","3,100.00","30.46K","0.00%"
"02/24/2026","3,100.00","3,100.00","3,100.00","3,100.00","44.14K","0.00%"
"02/23/2026","3,100.00","3,100.00","3,100.00","3,100.00","44.30K","0.00%"
"02/20/2026","3,100.00","2,900.00","3,100.00","3,100.00","508.27K","6.90%"
"02/19/2026","2,900.00","2,900.00","2,900.00","2,900.00","45.40K","0.00%"
"02/18/2026","2,900.00","2,900.00","2,900.00","2,900.00","48.73K","0.00%"
"02/17/2026","2,900.00","2,830.00","2,900.00","2,900.00","265.36K","2.47%"
"02/16/2026","2,830.00","2,662.00","2,830.00","2,830.00","1.39M","6.31%"
"02/13/2026","2,662.00","2,420.00","2,662.00","2,662.00","1.39M","10.00%"
"02/12/2026","2,420.00","2,420.00","2,420.00","2,420.00","25.85K","0.00%"
"02/11/2026","2,420.00","2,200.00","2,420.00","2,420.00","127.68K","10.00%"
"02/10/2026","2,200.00","2,200.00","2,200.00","2,200.00","21.78K","0.00%"
"02/09/2026","2,200.00","2,200.00","2,200.00","2,200.00","15.59K","0.00%"
"02/06/2026","2,200.00","2,153.80","2,200.00","2,200.00","307.80K","2.15%"
"02/05/2026","2,153.80","2,153.80","2,153.80","2,153.80","18.55K","0.00%"
"02/04/2026","2,153.80","2,153.80","2,153.80","2,153.80","20.78K","0.00%"
"02/03/2026","2,153.80","2,153.80","2,153.80","2,153.80","54.65K","0.00%"
"02/02/2026","2,153.80","2,153.80","2,153.80","2,153.80","29.84K","0.00%"
