"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","9,099.90","9,099.90","9,450.00","9,000.10","30.88K","0.00%"
"03/26/2026","9,099.90","9,099.90","9,099.90","9,099.90","137.41K","0.00%"
"03/25/2026","9,099.90","9,099.90","9,099.90","9,099.90","62.54K","0.00%"
"03/24/2026","9,099.90","9,099.90","9,099.90","9,099.90","116.21K","0.00%"
"03/23/2026","9,099.90","9,099.90","9,099.90","9,099.90","47.73K","0.00%"
"03/18/2026","9,099.90","9,099.90","9,099.90","9,099.90","190.80K","0.00%"
"03/17/2026","9,099.90","9,099.90","9,099.90","9,099.90","222.82K","0.00%"
"03/16/2026","9,099.90","9,099.90","9,099.90","9,099.90","393.25K","0.00%"
"03/13/2026","9,099.90","9,099.90","9,099.90","9,099.90","13.89K","0.00%"
"03/12/2026","9,099.90","9,099.90","9,099.90","9,099.90","56.99K","0.00%"
"03/11/2026","9,099.90","9,099.90","9,099.90","9,099.90","81.68K","0.00%"
"03/10/2026","9,099.90","9,099.90","9,099.90","9,099.90","105.98K","0.00%"
"03/09/2026","9,099.90","9,099.90","9,099.90","9,099.90","166.38K","0.00%"
"03/06/2026","9,099.90","9,099.90","9,099.90","9,099.90","24.73K","0.00%"
"03/05/2026","9,099.90","9,099.90","9,099.90","9,099.90","82.87K","0.00%"
"03/04/2026","9,099.90","9,099.90","9,099.90","9,099.90","38.19K","0.00%"
"03/03/2026","9,099.90","9,099.90","9,099.90","9,099.90","165.50K","0.00%"
"03/02/2026","9,099.90","9,099.90","9,099.90","9,099.90","124.59K","0.00%"
"02/27/2026","9,099.90","9,099.90","9,099.90","9,099.90","117.75K","0.00%"
"02/26/2026","9,099.90","9,099.90","9,099.90","9,099.90","59.65K","0.00%"
"02/25/2026","9,099.90","9,099.90","9,099.90","9,099.90","70.61K","0.00%"
"02/24/2026","9,099.90","9,099.90","9,099.90","9,099.90","78.40K","0.00%"
"02/23/2026","9,099.90","9,099.90","9,099.90","9,099.90","30.08K","0.00%"
"02/20/2026","9,099.90","9,099.90","9,099.90","9,099.90","192.24K","0.00%"
"02/19/2026","9,099.90","9,099.90","9,099.90","9,099.90","97.41K","0.00%"
"02/18/2026","9,099.90","8,400.00","9,099.90","9,099.90","174.60K","8.33%"
"02/17/2026","8,400.00","8,400.00","8,400.00","8,400.00","178.74K","0.00%"
"02/16/2026","8,400.00","8,400.00","8,400.00","8,400.00","132.81K","0.00%"
"02/13/2026","8,400.00","8,107.00","8,400.00","8,400.00","473.81K","3.61%"
"02/12/2026","8,107.00","7,370.00","8,107.00","8,107.00","230.11K","10.00%"
"02/11/2026","7,370.00","7,370.00","7,370.00","7,370.00","126.31K","0.00%"
"02/10/2026","7,370.00","7,370.00","7,370.00","7,370.00","196.48K","0.00%"
"02/09/2026","7,370.00","7,370.00","7,370.00","7,370.00","196.47K","0.00%"
"02/06/2026","7,370.00","7,370.00","7,370.00","7,370.00","261.33K","0.00%"
"02/05/2026","7,370.00","6,700.00","7,370.00","7,370.00","246.64K","10.00%"
"02/04/2026","6,700.00","6,700.00","6,700.00","6,700.00","355.72K","0.00%"
"02/03/2026","6,700.00","6,700.00","6,700.00","6,700.00","108.13K","0.00%"
"02/02/2026","6,700.00","6,700.00","6,700.00","6,700.00","64.26K","0.00%"
"01/30/2026","6,700.00","6,700.00","6,700.00","6,700.00","13.42K","0.00%"
"01/29/2026","6,700.00","6,700.00","6,700.00","6,700.00","39.70K","0.00%"
"01/28/2026","6,700.00","6,700.00","6,700.00","6,700.00","6.84K","0.00%"
"01/27/2026","6,700.00","6,700.00","6,700.00","6,700.00","215.93K","0.00%"
"01/26/2026","6,700.00","6,700.00","6,700.00","6,700.00","16.65K","0.00%"
"01/23/2026","6,700.00","6,700.00","6,700.00","6,700.00","262.09K","0.00%"
"01/22/2026","6,700.00","6,700.00","6,700.00","6,700.00","70.64K","0.00%"
"01/21/2026","6,700.00","6,700.00","6,700.00","6,700.00","138.64K","0.00%"
"01/20/2026","6,700.00","6,700.00","6,700.00","6,700.00","26.84K","0.00%"
"01/19/2026","6,700.00","6,700.00","6,700.00","6,700.00","59.11K","0.00%"
"01/16/2026","6,700.00","6,700.00","6,700.00","6,700.00","17.06K","0.00%"
"01/15/2026","6,700.00","6,700.00","6,700.00","6,700.00","45.00K","0.00%"
"01/14/2026","6,700.00","6,171.00","6,700.00","6,700.00","610.77K","8.57%"
"01/13/2026","6,171.00","6,171.00","6,171.00","6,171.00","328.21K","0.00%"
"01/12/2026","6,171.00","6,171.00","6,171.00","6,171.00","56.50K","0.00%"
"01/09/2026","6,171.00","6,171.00","6,171.00","6,171.00","15.45K","0.00%"
"01/08/2026","6,171.00","6,171.00","6,171.00","6,171.00","180.42K","0.00%"
"01/07/2026","6,171.00","5,610.00","6,171.00","6,171.00","566.83K","10.00%"
"01/06/2026","5,610.00","5,610.00","5,610.00","5,610.00","140.60K","0.00%"
"01/05/2026","5,610.00","5,610.00","5,610.00","5,610.00","16.56K","0.00%"
"01/02/2026","5,610.00","5,809.00","5,610.00","5,610.00","1.13M","-3.43%"
"12/31/2025","5,809.00","5,809.00","5,809.00","5,809.00","1.23M","0.00%"
"12/30/2025","5,809.00","5,809.00","5,809.00","5,809.00","35.60K","0.00%"
"12/29/2025","5,809.00","5,809.00","5,809.00","5,809.00","22.52K","0.00%"
"12/24/2025","5,809.00","5,809.00","5,809.00","5,809.00","125.51K","0.00%"
"12/23/2025","5,809.00","5,809.00","5,809.00","5,809.00","11.46K","0.00%"
"12/22/2025","5,809.00","5,809.00","5,809.00","5,809.00","83.51K","0.00%"
"12/19/2025","5,809.00","5,809.00","5,809.00","5,809.00","18.03K","0.00%"
"12/18/2025","5,809.00","5,809.00","5,809.00","5,809.00","9.45K","0.00%"
"12/17/2025","5,809.00","5,809.00","5,809.00","5,809.00","10.26K","0.00%"
"12/16/2025","5,809.00","5,809.00","5,809.00","5,809.00","19.66K","0.00%"
"12/15/2025","5,809.00","5,809.00","5,809.00","5,809.00","5.97K","0.00%"
"12/12/2025","5,809.00","5,809.00","5,809.00","5,809.00","47.30K","0.00%"
"12/11/2025","5,809.00","5,809.00","5,809.00","5,809.00","19.19K","0.00%"
"12/10/2025","5,809.00","5,809.00","5,809.00","5,809.00","12.68K","0.00%"
"12/09/2025","5,809.00","5,809.00","5,809.00","5,809.00","6.94K","0.00%"
"12/08/2025","5,809.00","5,809.00","5,809.00","5,809.00","14.78K","0.00%"
"12/05/2025","5,809.00","5,809.00","5,809.00","5,809.00","63.46K","0.00%"
"12/04/2025","5,809.00","5,809.00","5,809.00","5,809.00","45.24K","0.00%"
"12/03/2025","5,809.00","5,809.00","5,809.00","5,809.00","181.33K","0.00%"
"12/02/2025","5,809.00","5,809.00","5,809.00","5,809.00","4.98K","0.00%"
"12/01/2025","5,809.00","5,809.00","5,809.00","5,809.00","87.62K","0.00%"
"11/28/2025","5,809.00","5,809.00","5,809.00","5,809.00","67.92K","0.00%"
"11/27/2025","5,809.00","5,809.00","5,809.00","5,809.00","108.72K","0.00%"
"11/26/2025","5,809.00","5,809.00","5,809.00","5,809.00","168.52K","0.00%"
"11/25/2025","5,809.00","5,809.00","5,809.00","5,809.00","4.74K","0.00%"
"11/24/2025","5,809.00","5,809.00","5,809.00","5,809.00","4.83K","0.00%"
"11/21/2025","5,809.00","5,809.00","5,809.00","5,809.00","7.30K","0.00%"
"11/20/2025","5,809.00","5,809.00","5,809.00","5,809.00","14.85K","0.00%"
"11/19/2025","5,809.00","5,809.00","5,809.00","5,809.00","7.99K","0.00%"
"11/18/2025","5,809.00","5,809.00","5,809.00","5,809.00","105.60K","0.00%"
"11/17/2025","5,809.00","5,809.00","5,809.00","5,809.00","103.81K","0.00%"
"11/14/2025","5,809.00","5,809.00","5,809.00","5,809.00","18.34K","-1.16%"
"11/13/2025","5,877.17","5,877.17","5,877.17","5,877.17","93.07K","-0.68%"
"11/12/2025","5,917.20","5,917.20","5,917.20","5,917.20","58.92K","0.68%"
"11/11/2025","5,877.17","5,877.17","5,877.17","5,877.17","7.68K","0.00%"
"11/10/2025","5,877.17","5,877.17","5,877.17","5,877.17","5.97K","0.00%"
"11/07/2025","5,877.17","5,877.17","5,877.17","5,877.17","131.00K","-0.68%"
"11/06/2025","5,917.20","5,917.20","5,917.20","5,917.20","46.85K","0.00%"
"11/05/2025","5,917.20","5,917.20","5,917.20","5,917.20","29.32K","0.00%"
"11/04/2025","5,917.20","5,917.20","5,917.20","5,917.20","87.31K","0.00%"
"11/03/2025","5,917.20","5,917.20","5,917.20","5,917.20","61.09K","0.00%"
"10/31/2025","5,917.20","5,917.20","5,917.20","5,917.20","25.17K","0.00%"
"10/30/2025","5,917.20","5,917.20","5,917.20","5,917.20","112.70K","0.00%"
"10/29/2025","5,917.20","5,917.20","5,917.20","5,917.20","5.13K","0.00%"
"10/28/2025","5,917.20","5,917.20","5,917.20","5,917.20","166.80K","0.00%"
"10/27/2025","5,917.20","5,917.20","5,917.20","5,917.20","252.81K","0.00%"
"10/24/2025","5,917.20","5,917.20","5,917.20","5,917.20","39.71K","0.00%"
"10/23/2025","5,917.20","5,917.20","5,917.20","5,917.20","399.06K","0.00%"
"10/22/2025","5,917.20","5,917.20","5,917.20","5,917.20","160.32K","0.00%"
"10/21/2025","5,917.20","5,917.20","5,917.20","5,917.20","154.45K","0.00%"
"10/20/2025","5,917.20","5,917.20","5,917.20","5,917.20","108.75K","0.00%"
"10/17/2025","5,917.20","5,917.20","5,917.20","5,917.20","32.27K","0.00%"
"10/16/2025","5,917.20","5,917.20","5,917.20","5,917.20","41.54K","0.00%"
