Stock,Best_Model,RMSE,R2,MAPE,Directional_Accuracy,Risk_Level,Recommendation
DANGSUG,Ridge,0.04105414720262602,0.7745194884225458,9.058175706003174,66.66666666666666,MODERATE,HOLD / MAINTAIN
DANGCEM,Random Forest,0.024318091848541785,0.9732843244483336,10.903680884488434,11.11111111111111,VERY HIGH,AVOID or REDUCE POSITION
MTNN,XGBoost,0.050112151244436604,0.6273856964628997,9.78092533528602,44.44444444444444,MODERATE,HOLD / MAINTAIN
GTCO,Random Forest,0.026796131558799265,0.9340141988231592,9.486109434642104,48.0,HIGH,CAUTION
SEPLAT,Ridge,0.026670665591506767,0.6389622779179847,5.0449719934976285,22.22222222222222,LOW,FAVORABLE ENTRY
AIRTEL,Ridge,0.0141326643027705,0.9026093548676996,12.62752719531936,11.11111111111111,MODERATE,HOLD / MAINTAIN
INTERBREW,Ridge,0.02270575092941252,0.7123806306756051,4.730968949181265,55.55555555555556,LOW,FAVORABLE ENTRY
FIRSTHOLDCO,Ridge,0.04363934969884179,0.9507977801997108,8.357330033022587,63.47826086956522,MODERATE,HOLD / MAINTAIN
ETI,XGBoost,0.040261092564479434,0.8917729159735716,7.538019907139717,77.77777777777779,LOW,FAVORABLE ENTRY
ZENITH,Ridge,0.039129445874805685,0.9438890338210951,9.172990631472738,64.3312101910828,VERY HIGH,AVOID or REDUCE POSITION
CWG,SVR,0.026519906469632072,0.3757664181829824,4.761980066484339,66.66666666666666,LOW,FAVORABLE ENTRY
NESTLE,XGBoost,0.038729997044655164,0.8447694096312048,7.4142965976998205,33.33333333333333,LOW,FAVORABLE ENTRY
NB,Random Forest,0.019326756049803526,0.7836493297510485,6.7244229384283285,66.66666666666666,LOW,FAVORABLE ENTRY
ACCESS,Ridge,0.04227500189753798,0.8910441971883927,9.207721902414496,69.49152542372882,MODERATE,HOLD / MAINTAIN
WAPCO,Ridge,0.025820280711288928,0.9407031783135572,5.6075492184336415,66.66666666666666,MODERATE,HOLD / MAINTAIN
