Stock,Best_Model,RMSE
DANGSUG,Ridge,0.04105414720262602
DANGCEM,Random Forest,0.024318091848541785
MTNN,XGBoost,0.050112151244436604
GTCO,Random Forest,0.026796131558799265
SEPLAT,Ridge,0.026670665591506767
AIRTEL,Ridge,0.0141326643027705
INTERBREW,Ridge,0.02270575092941252
FIRSTHOLDCO,Ridge,0.04363934969884179
ETI,XGBoost,0.040261092564479434
ZENITH,Ridge,0.039129445874805685
CWG,SVR,0.026519906469632072
NESTLE,XGBoost,0.038729997044655164
NB,Random Forest,0.019326756049803526
ACCESS,Ridge,0.04227500189753798
WAPCO,Ridge,0.025820280711288928
