stock,best_model,aic,rmse,mae,r2,directional_accuracy
DANGSUG,EGARCH,,1.3174610872503016e+152,8.154879404401706e+150,-9.412740012476513e+304,21.476510067114095
DANGCEM,HARCH,,2353778.427419256,110995.39209531901,-52459238476563.5,12.847555129434324
MTNN,GARCH,,11112.233797031133,372.77435430753735,-1170600123.9774647,17.641418983700863
GTCO,EGARCH,,0.869478337477009,0.6935543312095609,-8.097767483595003,34.3599615014437
SEPLAT,HARCH,,73170.8478571945,4790.617425342794,-60973966324.811714,9.195402298850574
AIRTEL,EGARCH,,inf,3.5577238878103886e+152,-inf,9.43579766536965
INTERBREW,EGARCH,,1.86317133748818e+152,1.6309758808803412e+151,-1.59104412816687e+305,22.051773729626078
FIRSTHOLDCO,EGARCH,,1.4525764963874548,1.0957819605272447,-11.257525297390723,31.477927063339735
ETI,GARCH,,433997.385616086,20626.62368216151,-1203026085663.8613,17.353787152444873
ZENITH,EGARCH,,0.7496642534166527,0.5822929758066021,-5.340919663088866,35.53639846743295
CWG,GARCH,,74189.26520548858,4404.67916905057,-24321835885.08647,25.6198347107438
NESTLE,GJR-GARCH,,276332109.0369893,8688313.148346156,-1.0645423190623082e+18,9.491850431447748
NB,GJR-GARCH,,391277941.58450055,12429345.771313623,-1.0724449120711995e+18,27.516778523489933
ACCESS,EGARCH,,1.4176667697612433,1.1250697411521364,-21.40423385077885,31.069958847736622
WAPCO,EGARCH,,6.587305436251508e+151,2.0387198511004265e+150,-3.84770426109024e+304,24.065196548418026
