Model,Feature,Importance
XGBoost,hist_vol_21d,0.5228443145751953
XGBoost,realized_vol_21d,0.35922971367836
Random Forest,realized_vol_21d,0.13238895545609408
Random Forest,hist_vol_21d,0.10643345631374199
Random Forest,hist_vol_21d_lag_2,0.08236765368682596
Random Forest,hist_vol_21d_lag_1,0.07506377468905759
Random Forest,hist_vol_21d_lag_3,0.06875898117493733
Random Forest,high_vol_regime,0.06532993439604318
Random Forest,atr_ratio,0.05051240886472527
Random Forest,hist_vol_21d_lag_5,0.04299766781020926
Random Forest,bb_width_lag_1,0.029754647630521276
Random Forest,atr_14_lag_1,0.02808596137424563
Random Forest,atr_14,0.025470700848627383
Random Forest,hist_vol_10d,0.025321197352377037
Random Forest,bb_width_lag_5,0.021183172960172
Random Forest,bb_width_lag_2,0.021130109195634128
Random Forest,hist_vol_63d,0.02049040416138433
Random Forest,bb_width_lag_3,0.018624765827462243
Random Forest,bb_width,0.01765004278186601
Random Forest,atr_14_lag_2,0.01626771497970488
