Model,Feature,Importance
XGBoost,hist_vol_21d,0.4314151406288147
XGBoost,realized_vol_21d,0.24680282175540924
Random Forest,hist_vol_21d,0.11959340594966095
Random Forest,realized_vol_21d,0.11698744151624581
XGBoost,bb_width_lag_2,0.08892489969730377
Random Forest,bb_width_lag_2,0.08058278592701072
Random Forest,bb_width_lag_3,0.07646778846553734
Random Forest,bb_width_lag_1,0.07302780113132137
Random Forest,hist_vol_21d_lag_1,0.07223238143832461
Random Forest,hist_vol_21d_lag_2,0.07108881298004648
Random Forest,bb_width,0.05349535249078643
Random Forest,bb_width_lag_5,0.048641586228421706
Random Forest,hist_vol_21d_lag_3,0.04575592757896752
XGBoost,bb_width_lag_3,0.04200958460569382
XGBoost,bb_width_lag_1,0.0375417098402977
Random Forest,hist_vol_21d_lag_5,0.03555694822891242
Random Forest,high_vol_regime,0.01987905544277512
Random Forest,price_dist_sma20,0.01315769463396207
Random Forest,macd_lag_1,0.01314048854136944
Random Forest,hist_vol_21d_lag_10,0.012755397849375117
