Model,Feature,Importance
XGBoost,hist_vol_21d,0.42434051632881165
XGBoost,realized_vol_21d,0.28520533442497253
Random Forest,realized_vol_21d,0.12587912511176982
Random Forest,hist_vol_21d,0.10417922207031788
Random Forest,high_vol_regime,0.08427551032352382
Random Forest,hist_vol_21d_lag_2,0.07703348987170078
Random Forest,hist_vol_21d_lag_3,0.07255253018923495
XGBoost,high_vol_regime,0.07245176285505295
Random Forest,hist_vol_21d_lag_1,0.06510915636696278
Random Forest,hist_vol_21d_lag_5,0.05214197830123755
Random Forest,bb_width_lag_1,0.04104805332609839
Random Forest,atr_14_lag_5,0.04074152976986939
XGBoost,hist_vol_21d_lag_2,0.04020727425813675
Random Forest,atr_14_lag_1,0.030967587986191335
Random Forest,atr_14_lag_3,0.030750088543645762
Random Forest,bb_width_lag_2,0.025387449632681663
Random Forest,bb_width_lag_5,0.02281414726106534
Random Forest,atr_14_lag_2,0.02069261836227357
Random Forest,atr_ratio,0.019592082028437364
Random Forest,bb_width_lag_3,0.018982127551822974
