Model,Feature,Importance
XGBoost,hist_vol_21d,0.4869890511035919
XGBoost,realized_vol_21d,0.25462138652801514
Random Forest,realized_vol_21d,0.12940626126395455
XGBoost,hist_vol_21d_lag_1,0.1047913208603859
Random Forest,hist_vol_21d,0.10100022638823924
Random Forest,hist_vol_21d_lag_1,0.07937216811231503
Random Forest,hist_vol_21d_lag_2,0.07905987483878717
Random Forest,hist_vol_21d_lag_3,0.07706691020281803
Random Forest,high_vol_regime,0.06809306149614162
Random Forest,hist_vol_21d_lag_5,0.05439595131339312
XGBoost,bb_width_lag_1,0.05350566282868385
Random Forest,bb_width_lag_1,0.050428011040666985
Random Forest,bb_width_lag_3,0.04042044969554452
Random Forest,bb_width_lag_2,0.03903122907645779
Random Forest,bb_width_lag_5,0.038371809983271526
Random Forest,bb_width,0.03775532204663683
Random Forest,bb_width_lag_10,0.026359842536904387
Random Forest,hist_vol_10d,0.02149045203245237
Random Forest,hist_vol_63d,0.016132805942115292
Random Forest,hist_vol_21d_lag_10,0.015541473347950087
