Model,Feature,Importance
XGBoost,hist_vol_21d,0.5168600678443909
XGBoost,realized_vol_21d,0.3712981045246124
Random Forest,realized_vol_21d,0.11730475849669302
Random Forest,hist_vol_21d,0.09495712729155559
Random Forest,high_vol_regime,0.08319513669241288
Random Forest,hist_vol_21d_lag_2,0.07763269316954159
Random Forest,hist_vol_21d_lag_3,0.0689882650995453
Random Forest,hist_vol_21d_lag_1,0.06305394975173274
Random Forest,hist_vol_21d_lag_5,0.057042128262480625
Random Forest,bb_width_lag_1,0.037595520745791665
Random Forest,atr_ratio,0.033609004563275716
Random Forest,bb_width_lag_5,0.03199002536678782
Random Forest,bb_width_lag_2,0.02742661087675712
Random Forest,bb_width_lag_10,0.024166426048128582
Random Forest,bb_width_lag_3,0.023527595593872953
Random Forest,atr_14_lag_1,0.0215864033831966
Random Forest,hist_vol_10d,0.02139058573442618
XGBoost,hist_vol_21d_lag_2,0.01993905007839203
Random Forest,atr_14_lag_2,0.01835013518636981
Random Forest,bb_width,0.0173924740995112
