Model,Feature,Importance
XGBoost,hist_vol_21d,0.5409944653511047
XGBoost,realized_vol_21d,0.3523979187011719
Random Forest,realized_vol_21d,0.1261089026239959
Random Forest,hist_vol_21d,0.1081000195936169
Random Forest,hist_vol_21d_lag_2,0.09156650016353846
Random Forest,hist_vol_21d_lag_3,0.08307404331852446
Random Forest,hist_vol_21d_lag_1,0.08040417043437113
Random Forest,hist_vol_21d_lag_5,0.05535906837917464
Random Forest,high_vol_regime,0.05044337449412053
Random Forest,atr_ratio,0.039793248039477355
Random Forest,hist_vol_21d_lag_10,0.0380490100648707
Random Forest,bb_width_lag_1,0.028244153923397144
Random Forest,bb_width_lag_5,0.026771088519707588
Random Forest,bb_width_lag_2,0.0259959749699669
Random Forest,bb_width_lag_3,0.024129708203353903
Random Forest,hist_vol_63d,0.019334933980531568
Random Forest,hist_vol_10d,0.019233443539911046
Random Forest,atr_14_lag_5,0.017477249862712603
Random Forest,bb_width_lag_10,0.015803089619345265
Random Forest,atr_14_lag_1,0.013917538173446157
