Model,Feature,Importance
XGBoost,hist_vol_21d,0.47953903675079346
XGBoost,realized_vol_21d,0.32374024391174316
Random Forest,realized_vol_21d,0.12635449477286792
Random Forest,hist_vol_21d,0.11395617884501083
Random Forest,hist_vol_21d_lag_1,0.07963827032347208
Random Forest,hist_vol_21d_lag_2,0.07928306697573555
Random Forest,hist_vol_21d_lag_3,0.07552290909601465
Random Forest,high_vol_regime,0.07501462960577594
Random Forest,hist_vol_21d_lag_5,0.05707517843752657
XGBoost,high_vol_regime,0.048367422074079514
Random Forest,bb_width_lag_10,0.032162159682555196
Random Forest,hist_vol_63d,0.02970852405745658
Random Forest,bb_width_lag_5,0.028524245652699745
Random Forest,bb_width_lag_3,0.023249091184339533
Random Forest,bb_width_lag_2,0.022396863011266532
Random Forest,bb_width_lag_1,0.021166852481200243
Random Forest,atr_14_lag_5,0.01959601268221172
Random Forest,hist_vol_10d,0.018369985658606158
Random Forest,atr_14_lag_10,0.01672990620062101
Random Forest,hist_vol_21d_lag_10,0.015133564697675099
