Model,Feature,Importance
XGBoost,bb_width_lag_2,0.584438145160675
Random Forest,hist_vol_21d,0.1102771877142874
Random Forest,realized_vol_21d,0.1034135150019763
Random Forest,bb_width_lag_1,0.09423519797318468
Random Forest,bb_width_lag_2,0.09350646041580411
Random Forest,bb_width_lag_3,0.0698955549624163
XGBoost,bb_width_lag_1,0.06702104955911636
XGBoost,hist_vol_21d,0.06470540165901184
Random Forest,hist_vol_21d_lag_1,0.06292589100350184
Random Forest,bb_width,0.05475968170159978
Random Forest,hist_vol_21d_lag_2,0.05035672055049708
XGBoost,hist_vol_21d_lag_2,0.04956260696053505
Random Forest,high_vol_regime,0.04804375408276483
XGBoost,hist_vol_21d_lag_1,0.04626484960317612
Random Forest,hist_vol_21d_lag_5,0.03941578586868252
Random Forest,hist_vol_21d_lag_3,0.039035451505395016
Random Forest,bb_width_lag_5,0.03554893765037232
XGBoost,realized_vol_21d,0.03446631133556366
Random Forest,bb_width_lag_10,0.02423935025978096
Random Forest,macd_lag_1,0.01779517553874989
