Model,Feature,Importance
XGBoost,hist_vol_21d,0.35301828384399414
XGBoost,realized_vol_21d,0.24385766685009003
XGBoost,hist_vol_21d_lag_1,0.13612382113933563
Random Forest,realized_vol_21d,0.1188610196910947
XGBoost,hist_vol_21d_lag_2,0.11326003074645996
Random Forest,hist_vol_21d,0.08856870584718927
Random Forest,hist_vol_21d_lag_1,0.0851997738759751
Random Forest,hist_vol_21d_lag_3,0.08483407369530849
Random Forest,hist_vol_21d_lag_2,0.07805045888936579
XGBoost,hist_vol_21d_lag_3,0.07012253999710083
Random Forest,hist_vol_21d_lag_5,0.05713686937669689
Random Forest,bb_width_lag_5,0.04703983305836347
Random Forest,high_vol_regime,0.044358849300530336
Random Forest,bb_width_lag_10,0.03832338479645256
Random Forest,bb_width_lag_1,0.03717414619445062
Random Forest,bb_width_lag_2,0.033084250149032865
Random Forest,bb_width_lag_3,0.030778057913376823
Random Forest,hist_vol_63d,0.026057565551508403
Random Forest,hist_vol_10d,0.02299526427988712
Random Forest,hist_vol_21d_lag_10,0.02067743595857655
