Model,Feature,Importance
XGBoost,hist_vol_21d,0.5141453742980957
XGBoost,realized_vol_21d,0.3400425612926483
Random Forest,realized_vol_21d,0.12310194372526173
Random Forest,hist_vol_21d,0.10250812706728386
Random Forest,hist_vol_21d_lag_2,0.07946107574467295
Random Forest,hist_vol_21d_lag_1,0.07567630127227433
Random Forest,hist_vol_21d_lag_3,0.06209236874669608
Random Forest,high_vol_regime,0.050056443881107505
Random Forest,atr_ratio,0.04266021701562421
Random Forest,hist_vol_10d,0.03793220261793999
Random Forest,bb_width_lag_5,0.03252385785604598
Random Forest,bb_width_lag_1,0.03225408859943998
Random Forest,hist_vol_21d_lag_5,0.031756139734265505
Random Forest,bb_width,0.02936086317340542
Random Forest,bb_width_lag_2,0.024730633827263884
Random Forest,hist_vol_63d,0.022019148652139286
Random Forest,bb_width_lag_10,0.018162363233994897
Random Forest,bb_width_lag_3,0.01714478199071133
Random Forest,atr_14_lag_1,0.016293770353952908
XGBoost,ema_5,0.013303721323609352
