Stock,Best_Model,RMSE
DANGSUG,Ridge,0.041054147202626026
DANGCEM,Random Forest,0.02382404700379792
MTNN,XGBoost,0.050176078080437135
GTCO,Random Forest,0.024908433880417875
SEPLAT,Ridge,0.026670665591506767
AIRTEL,Ridge,0.01413266430277051
INTERBREW,Ridge,0.022705750929412502
FIRSTHOLDCO,Ridge,0.04363934969884179
ETI,XGBoost,0.04048177333619586
ZENITH,Ridge,0.03912944587480569
CWG,SVR,0.026519906469632072
NESTLE,XGBoost,0.0388813651302281
NB,Random Forest,0.02026210021202518
ACCESS,Ridge,0.04227500189753798
WAPCO,Ridge,0.02582028071128893
