feature,mean_abs_shap
realized_vol_21d,0.022562884855454202
hist_vol_21d,0.02253216887411323
hist_vol_21d_lag_1,0.01531391014313038
high_vol_regime,0.014016917570413819
hist_vol_21d_lag_2,0.01241829161193417
hist_vol_21d_lag_3,0.010197080511784699
atr_ratio,0.009087955129297871
bb_width,0.007711185564152736
hist_vol_10d,0.006956457819782338
bb_width_lag_5,0.006189214711420165
bb_width_lag_2,0.005596060423985505
bb_width_lag_1,0.005380582854467164
hist_vol_21d_lag_5,0.004749244750427713
atr_14_lag_1,0.0037214354285087375
hist_vol_63d,0.0036817450060275167
atr_14,0.0036396431444083365
bb_width_lag_10,0.003531654353747802
bb_width_lag_3,0.003502744291786096
atr_14_lag_3,0.0029811287788980077
atr_14_lag_5,0.0028963044793730067
atr_14_lag_2,0.0028682721435362405
parkinson_vol,0.0022178092708055068
realized_vol_5d,0.0020164500221598112
ema_50,0.0020162741289611696
hist_vol_21d_lag_10,0.0017224455799970287
volume_sma_20,0.0016901318174420252
atr_14_lag_10,0.0016826487531826657
hist_vol_5d,0.001597947721551063
vol_of_vol,0.001165878497701166
bb_upper,0.0008921172793099196
macd_lag_10,0.0008695439841785437
month,0.0008103727637485624
bb_lower,0.0007872316442179899
sma_10,0.0007863636391527951
bb_middle,0.0007019646086439799
sma_5,0.0006403685738060089
macd_lag_5,0.0006328721580145777
macd_signal,0.0006042176630261022
garman_klass_vol,0.0005556757553114994
macd,0.000539410710141699
max_drawdown_21d,0.0005319307765629586
sma_50,0.000514876014571581
ema_5,0.00046263458041498676
macd_lag_2,0.0003763013911312247
macd_lag_3,0.00034986438204694635
return_zscore,0.0003376787373658559
rsi_lag_5,0.0003316233855649634
sma_20,0.0003287066101826551
drawdown,0.00032134218917959404
vol_trend,0.0003187061457107573
price_dist_sma50,0.0002992461900222707
rsi_lag_10,0.0002951836623912691
macd_lag_1,0.0002893971936977134
macd_hist,0.0002521266057383396
ema_20,0.00023478386915042193
ema_10,0.00022057627401391195
price_dist_sma20,0.00021699795876401894
quarter,0.00020784902621902413
log_return_lag_1,0.000199066319550137
bb_position,0.00018710775537869614
log_return_lag_10,0.00017680305580794562
high_prev_vol,0.00015667119546380952
rsi_lag_3,0.00015102739371368291
rsi,0.00014631287161207346
abs_return_lag_3,0.00014367490696065897
abs_return_lag_2,0.0001403936352139868
volume_ratio,0.0001388585129140483
squared_return_lag_2,0.00013286368177159544
abs_return_lag_1,0.00013113271340611197
abs_return_lag_5,0.00012848353422197908
squared_return_lag_1,0.00012657596935901203
log_return_lag_5,0.00012362081655528014
log_return_lag_2,0.00012236543564065472
squared_return_lag_5,0.00011686487841390132
rsi_lag_1,8.994685651968219e-05
rsi_lag_2,8.810121791050112e-05
day_of_month,8.144913049598079e-05
year,7.756020140734766e-05
squared_return_lag_10,5.8285372172057795e-05
squared_return_lag_3,5.113722827861367e-05
dow_4,5.1065887390887294e-05
log_return_lag_3,4.8516587785255765e-05
day_of_week,4.818648387304542e-05
is_jump,4.747854621925783e-05
trend,4.708613409252772e-05
dow_0,4.363397939625698e-05
dow_2,7.3482333937419286e-06
dow_1,4.96092673780071e-06
dow_3,5.263103527613818e-07
is_month_start,0.0
is_month_end,0.0
