feature,mean_abs_shap
realized_vol_21d,0.10620693
hist_vol_21d,0.017485715
atr_ratio,0.004634306
hist_vol_10d,0.003137748
atr_14_lag_10,0.0026362792
vol_of_vol,0.0024244082
volume_sma_20,0.002405449
sma_50,0.0017825213
hist_vol_63d,0.0016819442
atr_14,0.0014653964
bb_width,0.0013227419
macd_hist,0.0011952808
macd,0.0011949735
parkinson_vol,0.0011834945
drawdown,0.0011774888
macd_lag_1,0.00110221
rsi_lag_5,0.0010956372
price_dist_sma50,0.0010516854
log_return_lag_10,0.0010334589
volume_ratio,0.0010102241
sma_5,0.0009980825
bb_width_lag_1,0.0009794644
macd_signal,0.0009122374
bb_width_lag_5,0.00091039285
realized_vol_5d,0.0008771426
bb_width_lag_3,0.0008696756
squared_return_lag_1,0.00086680934
macd_lag_3,0.00082399073
macd_lag_5,0.0008225326
atr_14_lag_3,0.0008028822
month,0.00079691596
atr_14_lag_5,0.00078872964
bb_upper,0.0007556364
hist_vol_21d_lag_2,0.0007475984
atr_14_lag_2,0.0006220278
bb_width_lag_10,0.0006202888
macd_lag_10,0.0006141915
hist_vol_21d_lag_1,0.00060975895
squared_return_lag_10,0.0006019613
squared_return_lag_2,0.00060146867
return_zscore,0.0005843713
log_return_lag_1,0.00057314755
log_return_lag_5,0.0005567667
log_return_lag_3,0.0005141638
rsi_lag_3,0.0005113517
ema_20,0.00050473114
price_dist_sma20,0.0004989887
bb_position,0.000491739
squared_return_lag_5,0.0004694103
garman_klass_vol,0.00046877045
bb_width_lag_2,0.00046598958
macd_lag_2,0.00045976756
rsi_lag_10,0.00041256996
atr_14_lag_1,0.00041184347
ema_50,0.00040846888
rsi_lag_1,0.00039667022
day_of_week,0.0003936665
day_of_month,0.00038030624
ema_5,0.0003569817
squared_return_lag_3,0.00031860068
max_drawdown_21d,0.00029004287
dow_3,0.0002868334
abs_return_lag_3,0.0002710733
sma_20,0.0002584319
hist_vol_21d_lag_5,0.00025813284
sma_10,0.00024154954
abs_return_lag_1,0.00023109888
rsi_lag_2,0.00021606383
hist_vol_21d_lag_10,0.0002097384
log_return_lag_2,0.00019151482
rsi,0.00019129987
ema_10,0.00017498442
bb_lower,0.00016822566
hist_vol_21d_lag_3,0.00014399075
dow_4,0.00013222077
abs_return_lag_2,8.2263345e-05
hist_vol_5d,8.203846e-05
abs_return_lag_5,8.015223e-05
dow_2,7.307078e-05
quarter,6.536429e-05
year,5.9149534e-05
dow_1,3.5204102e-05
is_month_end,3.0877818e-05
vol_trend,2.6582455e-05
trend,1.9633095e-05
bb_middle,1.6191296e-05
dow_0,1.6079366e-05
is_month_start,1.4919429e-05
high_vol_regime,7.593237e-06
high_prev_vol,0.0
is_jump,0.0
